#Freq(Hz)	Mag(strain/ct)	Phase(rad)
1015.5781	7.2887e-018	2.7803
1015.5938	7.289e-018	2.7803
1015.6094	7.2892e-018	2.7803
1015.625	7.2894e-018	2.7803
1015.6406	7.2896e-018	2.7803
1015.6563	7.2898e-018	2.7803
1015.6719	7.29e-018	2.7803
1015.6875	7.2902e-018	2.7803
1015.7031	7.2905e-018	2.7803
1015.7188	7.2907e-018	2.7803
1015.7344	7.2909e-018	2.7804
1015.75	7.2911e-018	2.7804
1015.7656	7.2913e-018	2.7804
1015.7813	7.2915e-018	2.7804
1015.7969	7.2917e-018	2.7804
1015.8125	7.292e-018	2.7804
1015.8281	7.2922e-018	2.7804
1015.8438	7.2924e-018	2.7804
1015.8594	7.2926e-018	2.7804
1015.875	7.2928e-018	2.7804
1015.8906	7.293e-018	2.7804
1015.9063	7.2932e-018	2.7804
1015.9219	7.2935e-018	2.7804
1015.9375	7.2937e-018	2.7804
1015.9531	7.2939e-018	2.7804
1015.9688	7.2941e-018	2.7805
1015.9844	7.2943e-018	2.7805
1016	7.2945e-018	2.7805
1016.0156	7.2947e-018	2.7805
1016.0313	7.2949e-018	2.7805
1016.0469	7.2952e-018	2.7805
1016.0625	7.2954e-018	2.7805
1016.0781	7.2956e-018	2.7805
1016.0938	7.2958e-018	2.7805
1016.1094	7.296e-018	2.7805
1016.125	7.2962e-018	2.7805
1016.1406	7.2964e-018	2.7805
1016.1563	7.2967e-018	2.7805
1016.1719	7.2969e-018	2.7805
1016.1875	7.2971e-018	2.7805
1016.2031	7.2973e-018	2.7806
1016.2188	7.2975e-018	2.7806
1016.2344	7.2977e-018	2.7806
1016.25	7.2979e-018	2.7806
1016.2656	7.2982e-018	2.7806
1016.2813	7.2984e-018	2.7806
1016.2969	7.2986e-018	2.7806
1016.3125	7.2988e-018	2.7806
1016.3281	7.299e-018	2.7806
1016.3438	7.2992e-018	2.7806
1016.3594	7.2994e-018	2.7806
1016.375	7.2997e-018	2.7806
1016.3906	7.2999e-018	2.7806
1016.4063	7.3001e-018	2.7806
1016.4219	7.3003e-018	2.7806
1016.4375	7.3005e-018	2.7807
1016.4531	7.3007e-018	2.7807
1016.4688	7.3009e-018	2.7807
1016.4844	7.3011e-018	2.7807
1016.5	7.3014e-018	2.7807
1016.5156	7.3016e-018	2.7807
1016.5313	7.3018e-018	2.7807
1016.5469	7.302e-018	2.7807
1016.5625	7.3022e-018	2.7807
1016.5781	7.3024e-018	2.7807
1016.5938	7.3026e-018	2.7807
1016.6094	7.3029e-018	2.7807
1016.625	7.3031e-018	2.7807
1016.6406	7.3033e-018	2.7807
1016.6563	7.3035e-018	2.7807
1016.6719	7.3037e-018	2.7808
1016.6875	7.3039e-018	2.7808
1016.7031	7.3041e-018	2.7808
1016.7188	7.3044e-018	2.7808
1016.7344	7.3046e-018	2.7808
1016.75	7.3048e-018	2.7808
1016.7656	7.305e-018	2.7808
1016.7813	7.3052e-018	2.7808
1016.7969	7.3054e-018	2.7808
1016.8125	7.3056e-018	2.7808
1016.8281	7.3058e-018	2.7808
1016.8438	7.3061e-018	2.7808
1016.8594	7.3063e-018	2.7808
1016.875	7.3065e-018	2.7808
1016.8906	7.3067e-018	2.7808
1016.9063	7.3069e-018	2.7809
1016.9219	7.3071e-018	2.7809
1016.9375	7.3073e-018	2.7809
1016.9531	7.3076e-018	2.7809
1016.9688	7.3078e-018	2.7809
1016.9844	7.308e-018	2.7809
1017	7.3082e-018	2.7809
1017.0156	7.3084e-018	2.7809
1017.0313	7.3086e-018	2.7809
1017.0469	7.3088e-018	2.7809
1017.0625	7.3091e-018	2.7809
1017.0781	7.3093e-018	2.7809
1017.0938	7.3095e-018	2.7809
1017.1094	7.3097e-018	2.7809
1017.125	7.3099e-018	2.7809
1017.1406	7.3101e-018	2.781
1017.1563	7.3103e-018	2.781
1017.1719	7.3105e-018	2.781
1017.1875	7.3108e-018	2.781
1017.2031	7.311e-018	2.781
1017.2188	7.3112e-018	2.781
1017.2344	7.3114e-018	2.781
1017.25	7.3116e-018	2.781
1017.2656	7.3118e-018	2.781
1017.2813	7.312e-018	2.781
1017.2969	7.3123e-018	2.781
1017.3125	7.3125e-018	2.781
1017.3281	7.3127e-018	2.781
1017.3438	7.3129e-018	2.781
1017.3594	7.3131e-018	2.781
1017.375	7.3133e-018	2.7811
1017.3906	7.3135e-018	2.7811
1017.4063	7.3138e-018	2.7811
1017.4219	7.314e-018	2.7811
1017.4375	7.3142e-018	2.7811
1017.4531	7.3144e-018	2.7811
1017.4688	7.3146e-018	2.7811
1017.4844	7.3148e-018	2.7811
1017.5	7.315e-018	2.7811
1017.5156	7.3152e-018	2.7811
1017.5313	7.3155e-018	2.7811
1017.5469	7.3157e-018	2.7811
1017.5625	7.3159e-018	2.7811
1017.5781	7.3161e-018	2.7811
1017.5938	7.3163e-018	2.7811
1017.6094	7.3165e-018	2.7811
1017.625	7.3167e-018	2.7812
1017.6406	7.317e-018	2.7812
1017.6563	7.3172e-018	2.7812
1017.6719	7.3174e-018	2.7812
1017.6875	7.3176e-018	2.7812
1017.7031	7.3178e-018	2.7812
1017.7188	7.318e-018	2.7812
1017.7344	7.3182e-018	2.7812
1017.75	7.3185e-018	2.7812
1017.7656	7.3187e-018	2.7812
1017.7813	7.3189e-018	2.7812
1017.7969	7.3191e-018	2.7812
1017.8125	7.3193e-018	2.7812
1017.8281	7.3195e-018	2.7812
1017.8438	7.3197e-018	2.7812
1017.8594	7.3199e-018	2.7813
1017.875	7.3202e-018	2.7813
1017.8906	7.3204e-018	2.7813
1017.9063	7.3206e-018	2.7813
1017.9219	7.3208e-018	2.7813
1017.9375	7.321e-018	2.7813
1017.9531	7.3212e-018	2.7813
1017.9688	7.3214e-018	2.7813
1017.9844	7.3217e-018	2.7813
1018	7.3219e-018	2.7813
1018.0156	7.3221e-018	2.7813
1018.0313	7.3223e-018	2.7813
1018.0469	7.3225e-018	2.7813
1018.0625	7.3227e-018	2.7813
1018.0781	7.3229e-018	2.7813
1018.0938	7.3232e-018	2.7814
1018.1094	7.3234e-018	2.7814
1018.125	7.3236e-018	2.7814
1018.1406	7.3238e-018	2.7814
1018.1563	7.324e-018	2.7814
1018.1719	7.3242e-018	2.7814
1018.1875	7.3244e-018	2.7814
1018.2031	7.3246e-018	2.7814
1018.2188	7.3249e-018	2.7814
1018.2344	7.3251e-018	2.7814
1018.25	7.3253e-018	2.7814
1018.2656	7.3255e-018	2.7814
1018.2813	7.3257e-018	2.7814
1018.2969	7.3259e-018	2.7814
1018.3125	7.3261e-018	2.7814
1018.3281	7.3264e-018	2.7815
1018.3438	7.3266e-018	2.7815
1018.3594	7.3268e-018	2.7815
1018.375	7.327e-018	2.7815
1018.3906	7.3272e-018	2.7815
1018.4063	7.3274e-018	2.7815
1018.4219	7.3276e-018	2.7815
1018.4375	7.3278e-018	2.7815
1018.4531	7.3281e-018	2.7815
1018.4688	7.3283e-018	2.7815
1018.4844	7.3285e-018	2.7815
1018.5	7.3287e-018	2.7815
1018.5156	7.3289e-018	2.7815
1018.5313	7.3291e-018	2.7815
1018.5469	7.3293e-018	2.7815
1018.5625	7.3296e-018	2.7816
1018.5781	7.3298e-018	2.7816
1018.5938	7.33e-018	2.7816
1018.6094	7.3302e-018	2.7816
1018.625	7.3304e-018	2.7816
1018.6406	7.3306e-018	2.7816
1018.6563	7.3308e-018	2.7816
1018.6719	7.3311e-018	2.7816
1018.6875	7.3313e-018	2.7816
1018.7031	7.3315e-018	2.7816
1018.7188	7.3317e-018	2.7816
1018.7344	7.3319e-018	2.7816
1018.75	7.3321e-018	2.7816
1018.7656	7.3323e-018	2.7816
1018.7813	7.3325e-018	2.7816
1018.7969	7.3328e-018	2.7816
1018.8125	7.333e-018	2.7817
1018.8281	7.3332e-018	2.7817
1018.8438	7.3334e-018	2.7817
1018.8594	7.3336e-018	2.7817
1018.875	7.3338e-018	2.7817
1018.8906	7.334e-018	2.7817
1018.9063	7.3343e-018	2.7817
1018.9219	7.3345e-018	2.7817
1018.9375	7.3347e-018	2.7817
1018.9531	7.3349e-018	2.7817
1018.9688	7.3351e-018	2.7817
1018.9844	7.3353e-018	2.7817
1019	7.3355e-018	2.7817
1019.0156	7.3357e-018	2.7817
1019.0313	7.336e-018	2.7817
1019.0469	7.3362e-018	2.7818
1019.0625	7.3364e-018	2.7818
1019.0781	7.3366e-018	2.7818
1019.0938	7.3368e-018	2.7818
1019.1094	7.337e-018	2.7818
1019.125	7.3372e-018	2.7818
1019.1406	7.3375e-018	2.7818
1019.1563	7.3377e-018	2.7818
1019.1719	7.3379e-018	2.7818
1019.1875	7.3381e-018	2.7818
1019.2031	7.3383e-018	2.7818
1019.2188	7.3385e-018	2.7818
1019.2344	7.3387e-018	2.7818
1019.25	7.3389e-018	2.7818
1019.2656	7.3392e-018	2.7818
1019.2813	7.3394e-018	2.7819
1019.2969	7.3396e-018	2.7819
1019.3125	7.3398e-018	2.7819
1019.3281	7.34e-018	2.7819
1019.3438	7.3402e-018	2.7819
1019.3594	7.3404e-018	2.7819
1019.375	7.3407e-018	2.7819
1019.3906	7.3409e-018	2.7819
1019.4063	7.3411e-018	2.7819
1019.4219	7.3413e-018	2.7819
1019.4375	7.3415e-018	2.7819
1019.4531	7.3417e-018	2.7819
1019.4688	7.3419e-018	2.7819
1019.4844	7.3421e-018	2.7819
1019.5	7.3424e-018	2.7819
1019.5156	7.3426e-018	2.782
1019.5313	7.3428e-018	2.782
1019.5469	7.343e-018	2.782
1019.5625	7.3432e-018	2.782
1019.5781	7.3434e-018	2.782
1019.5938	7.3436e-018	2.782
1019.6094	7.3439e-018	2.782
1019.625	7.3441e-018	2.782
1019.6406	7.3443e-018	2.782
1019.6563	7.3445e-018	2.782
1019.6719	7.3447e-018	2.782
1019.6875	7.3449e-018	2.782
1019.7031	7.3451e-018	2.782
1019.7188	7.3453e-018	2.782
1019.7344	7.3456e-018	2.782
1019.75	7.3458e-018	2.782
1019.7656	7.346e-018	2.7821
1019.7813	7.3462e-018	2.7821
1019.7969	7.3464e-018	2.7821
1019.8125	7.3466e-018	2.7821
1019.8281	7.3468e-018	2.7821
1019.8438	7.3471e-018	2.7821
1019.8594	7.3473e-018	2.7821
1019.875	7.3475e-018	2.7821
1019.8906	7.3477e-018	2.7821
1019.9063	7.3479e-018	2.7821
1019.9219	7.3481e-018	2.7821
1019.9375	7.3483e-018	2.7821
1019.9531	7.3485e-018	2.7821
1019.9688	7.3488e-018	2.7821
1019.9844	7.349e-018	2.7821
1020	7.3492e-018	2.7822
1020.0156	7.3494e-018	2.7822
1020.0313	7.3496e-018	2.7822
1020.0469	7.3498e-018	2.7822
1020.0625	7.35e-018	2.7822
1020.0781	7.3503e-018	2.7822
1020.0938	7.3505e-018	2.7822
1020.1094	7.3507e-018	2.7822
1020.125	7.3509e-018	2.7822
1020.1406	7.3511e-018	2.7822
1020.1563	7.3513e-018	2.7822
1020.1719	7.3515e-018	2.7822
1020.1875	7.3517e-018	2.7822
1020.2031	7.352e-018	2.7822
1020.2188	7.3522e-018	2.7822
1020.2344	7.3524e-018	2.7823
1020.25	7.3526e-018	2.7823
1020.2656	7.3528e-018	2.7823
1020.2813	7.353e-018	2.7823
1020.2969	7.3532e-018	2.7823
1020.3125	7.3535e-018	2.7823
1020.3281	7.3537e-018	2.7823
1020.3438	7.3539e-018	2.7823
1020.3594	7.3541e-018	2.7823
1020.375	7.3543e-018	2.7823
1020.3906	7.3545e-018	2.7823
1020.4063	7.3547e-018	2.7823
1020.4219	7.3549e-018	2.7823
1020.4375	7.3552e-018	2.7823
1020.4531	7.3554e-018	2.7823
1020.4688	7.3556e-018	2.7824
1020.4844	7.3558e-018	2.7824
1020.5	7.356e-018	2.7824
1020.5156	7.3562e-018	2.7824
1020.5313	7.3564e-018	2.7824
1020.5469	7.3567e-018	2.7824
1020.5625	7.3569e-018	2.7824
1020.5781	7.3571e-018	2.7824
1020.5938	7.3573e-018	2.7824
1020.6094	7.3575e-018	2.7824
1020.625	7.3577e-018	2.7824
1020.6406	7.3579e-018	2.7824
1020.6563	7.3581e-018	2.7824
1020.6719	7.3584e-018	2.7824
1020.6875	7.3586e-018	2.7824
1020.7031	7.3588e-018	2.7824
1020.7188	7.359e-018	2.7825
1020.7344	7.3592e-018	2.7825
1020.75	7.3594e-018	2.7825
1020.7656	7.3596e-018	2.7825
1020.7813	7.3598e-018	2.7825
1020.7969	7.3601e-018	2.7825
1020.8125	7.3603e-018	2.7825
1020.8281	7.3605e-018	2.7825
1020.8438	7.3607e-018	2.7825
1020.8594	7.3609e-018	2.7825
1020.875	7.3611e-018	2.7825
1020.8906	7.3613e-018	2.7825
1020.9063	7.3616e-018	2.7825
1020.9219	7.3618e-018	2.7825
1020.9375	7.362e-018	2.7825
1020.9531	7.3622e-018	2.7826
1020.9688	7.3624e-018	2.7826
1020.9844	7.3626e-018	2.7826
1021	7.3628e-018	2.7826
1021.0156	7.363e-018	2.7826
1021.0313	7.3633e-018	2.7826
1021.0469	7.3635e-018	2.7826
1021.0625	7.3637e-018	2.7826
1021.0781	7.3639e-018	2.7826
1021.0938	7.3641e-018	2.7826
1021.1094	7.3643e-018	2.7826
1021.125	7.3645e-018	2.7826
1021.1406	7.3648e-018	2.7826
1021.1563	7.365e-018	2.7826
1021.1719	7.3652e-018	2.7826
1021.1875	7.3654e-018	2.7827
1021.2031	7.3656e-018	2.7827
1021.2188	7.3658e-018	2.7827
1021.2344	7.366e-018	2.7827
1021.25	7.3662e-018	2.7827
1021.2656	7.3665e-018	2.7827
1021.2813	7.3667e-018	2.7827
1021.2969	7.3669e-018	2.7827
1021.3125	7.3671e-018	2.7827
1021.3281	7.3673e-018	2.7827
1021.3438	7.3675e-018	2.7827
1021.3594	7.3677e-018	2.7827
1021.375	7.3679e-018	2.7827
1021.3906	7.3682e-018	2.7827
1021.4063	7.3684e-018	2.7827
1021.4219	7.3686e-018	2.7827
1021.4375	7.3688e-018	2.7828
1021.4531	7.369e-018	2.7828
1021.4688	7.3692e-018	2.7828
1021.4844	7.3694e-018	2.7828
1021.5	7.3697e-018	2.7828
1021.5156	7.3699e-018	2.7828
1021.5313	7.3701e-018	2.7828
1021.5469	7.3703e-018	2.7828
1021.5625	7.3705e-018	2.7828
1021.5781	7.3707e-018	2.7828
1021.5938	7.3709e-018	2.7828
1021.6094	7.3711e-018	2.7828
1021.625	7.3714e-018	2.7828
1021.6406	7.3716e-018	2.7828
1021.6563	7.3718e-018	2.7828
1021.6719	7.372e-018	2.7829
1021.6875	7.3722e-018	2.7829
1021.7031	7.3724e-018	2.7829
1021.7188	7.3726e-018	2.7829
1021.7344	7.3728e-018	2.7829
1021.75	7.3731e-018	2.7829
1021.7656	7.3733e-018	2.7829
1021.7813	7.3735e-018	2.7829
1021.7969	7.3737e-018	2.7829
1021.8125	7.3739e-018	2.7829
1021.8281	7.3741e-018	2.7829
1021.8438	7.3743e-018	2.7829
1021.8594	7.3746e-018	2.7829
1021.875	7.3748e-018	2.7829
1021.8906	7.375e-018	2.7829
1021.9063	7.3752e-018	2.783
1021.9219	7.3754e-018	2.783
1021.9375	7.3756e-018	2.783
1021.9531	7.3758e-018	2.783
1021.9688	7.376e-018	2.783
1021.9844	7.3763e-018	2.783
1022	7.3765e-018	2.783
1022.0156	7.3767e-018	2.783
1022.0313	7.3769e-018	2.783
1022.0469	7.3771e-018	2.783
1022.0625	7.3773e-018	2.783
1022.0781	7.3775e-018	2.783
1022.0938	7.3777e-018	2.783
1022.1094	7.378e-018	2.783
1022.125	7.3782e-018	2.783
1022.1406	7.3784e-018	2.783
1022.1563	7.3786e-018	2.7831
1022.1719	7.3788e-018	2.7831
1022.1875	7.379e-018	2.7831
1022.2031	7.3792e-018	2.7831
1022.2188	7.3795e-018	2.7831
1022.2344	7.3797e-018	2.7831
1022.25	7.3799e-018	2.7831
1022.2656	7.3801e-018	2.7831
1022.2813	7.3803e-018	2.7831
1022.2969	7.3805e-018	2.7831
1022.3125	7.3807e-018	2.7831
1022.3281	7.3809e-018	2.7831
1022.3438	7.3812e-018	2.7831
1022.3594	7.3814e-018	2.7831
1022.375	7.3816e-018	2.7831
1022.3906	7.3818e-018	2.7832
1022.4063	7.382e-018	2.7832
1022.4219	7.3822e-018	2.7832
1022.4375	7.3824e-018	2.7832
1022.4531	7.3826e-018	2.7832
1022.4688	7.3829e-018	2.7832
1022.4844	7.3831e-018	2.7832
1022.5	7.3833e-018	2.7832
1022.5156	7.3835e-018	2.7832
1022.5313	7.3837e-018	2.7832
1022.5469	7.3839e-018	2.7832
1022.5625	7.3841e-018	2.7832
1022.5781	7.3844e-018	2.7832
1022.5938	7.3846e-018	2.7832
1022.6094	7.3848e-018	2.7832
1022.625	7.385e-018	2.7832
1022.6406	7.3852e-018	2.7833
1022.6563	7.3854e-018	2.7833
1022.6719	7.3856e-018	2.7833
1022.6875	7.3858e-018	2.7833
1022.7031	7.3861e-018	2.7833
1022.7188	7.3863e-018	2.7833
1022.7344	7.3865e-018	2.7833
1022.75	7.3867e-018	2.7833
1022.7656	7.3869e-018	2.7833
1022.7813	7.3871e-018	2.7833
1022.7969	7.3873e-018	2.7833
1022.8125	7.3875e-018	2.7833
1022.8281	7.3878e-018	2.7833
1022.8438	7.388e-018	2.7833
1022.8594	7.3882e-018	2.7833
1022.875	7.3884e-018	2.7834
1022.8906	7.3886e-018	2.7834
1022.9063	7.3888e-018	2.7834
1022.9219	7.389e-018	2.7834
1022.9375	7.3892e-018	2.7834
1022.9531	7.3895e-018	2.7834
1022.9688	7.3897e-018	2.7834
1022.9844	7.3899e-018	2.7834
1023	7.3901e-018	2.7834
1023.0156	7.3903e-018	2.7834
1023.0313	7.3905e-018	2.7834
1023.0469	7.3907e-018	2.7834
1023.0625	7.391e-018	2.7834
1023.0781	7.3912e-018	2.7834
1023.0938	7.3914e-018	2.7834
1023.1094	7.3916e-018	2.7834
1023.125	7.3918e-018	2.7835
1023.1406	7.392e-018	2.7835
1023.1563	7.3922e-018	2.7835
1023.1719	7.3924e-018	2.7835
1023.1875	7.3927e-018	2.7835
1023.2031	7.3929e-018	2.7835
1023.2188	7.3931e-018	2.7835
1023.2344	7.3933e-018	2.7835
1023.25	7.3935e-018	2.7835
1023.2656	7.3937e-018	2.7835
1023.2813	7.3939e-018	2.7835
1023.2969	7.3941e-018	2.7835
1023.3125	7.3944e-018	2.7835
1023.3281	7.3946e-018	2.7835
1023.3438	7.3948e-018	2.7835
1023.3594	7.395e-018	2.7836
1023.375	7.3952e-018	2.7836
1023.3906	7.3954e-018	2.7836
1023.4063	7.3956e-018	2.7836
1023.4219	7.3958e-018	2.7836
1023.4375	7.3961e-018	2.7836
1023.4531	7.3963e-018	2.7836
1023.4688	7.3965e-018	2.7836
1023.4844	7.3967e-018	2.7836
1023.5	7.3969e-018	2.7836
1023.5156	7.3971e-018	2.7836
1023.5313	7.3973e-018	2.7836
1023.5469	7.3975e-018	2.7836
1023.5625	7.3978e-018	2.7836
1023.5781	7.398e-018	2.7836
1023.5938	7.3982e-018	2.7837
1023.6094	7.3984e-018	2.7837
1023.625	7.3986e-018	2.7837
1023.6406	7.3988e-018	2.7837
1023.6563	7.399e-018	2.7837
1023.6719	7.3993e-018	2.7837
1023.6875	7.3995e-018	2.7837
1023.7031	7.3997e-018	2.7837
1023.7188	7.3999e-018	2.7837
1023.7344	7.4001e-018	2.7837
1023.75	7.4003e-018	2.7837
1023.7656	7.4005e-018	2.7837
1023.7813	7.4007e-018	2.7837
1023.7969	7.401e-018	2.7837
1023.8125	7.4012e-018	2.7837
1023.8281	7.4014e-018	2.7837
1023.8438	7.4016e-018	2.7838
1023.8594	7.4018e-018	2.7838
1023.875	7.402e-018	2.7838
1023.8906	7.4022e-018	2.7838
1023.9063	7.4024e-018	2.7838
1023.9219	7.4027e-018	2.7838
1023.9375	7.4029e-018	2.7838
1023.9531	7.4031e-018	2.7838
1023.9688	7.4033e-018	2.7838
1023.9844	7.4035e-018	2.7838
1024	7.4037e-018	2.7838
1024.0156	7.4039e-018	2.7838
1024.0313	7.4041e-018	2.7838
1024.0469	7.4044e-018	2.7838
1024.0625	7.4046e-018	2.7838
1024.0781	7.4048e-018	2.7839
1024.0938	7.405e-018	2.7839
1024.1094	7.4052e-018	2.7839
1024.125	7.4054e-018	2.7839
1024.1406	7.4056e-018	2.7839
1024.1563	7.4058e-018	2.7839
1024.1719	7.4061e-018	2.7839
1024.1875	7.4063e-018	2.7839
1024.2031	7.4065e-018	2.7839
1024.2188	7.4067e-018	2.7839
1024.2344	7.4069e-018	2.7839
1024.25	7.4071e-018	2.7839
1024.2656	7.4073e-018	2.7839
1024.2813	7.4075e-018	2.7839
1024.2969	7.4078e-018	2.7839
1024.3125	7.408e-018	2.7839
1024.3281	7.4082e-018	2.784
1024.3438	7.4084e-018	2.784
1024.3594	7.4086e-018	2.784
1024.375	7.4088e-018	2.784
1024.3906	7.409e-018	2.784
1024.4063	7.4092e-018	2.784
1024.4219	7.4095e-018	2.784
1024.4375	7.4097e-018	2.784
1024.4531	7.4099e-018	2.784
1024.4688	7.4101e-018	2.784
1024.4844	7.4103e-018	2.784
1024.5	7.4105e-018	2.784
1024.5156	7.4107e-018	2.784
1024.5313	7.411e-018	2.784
1024.5469	7.4112e-018	2.784
1024.5625	7.4114e-018	2.7841
1024.5781	7.4116e-018	2.7841
1024.5938	7.4118e-018	2.7841
1024.6094	7.412e-018	2.7841
1024.625	7.4122e-018	2.7841
1024.6406	7.4124e-018	2.7841
1024.6563	7.4127e-018	2.7841
1024.6719	7.4129e-018	2.7841
1024.6875	7.4131e-018	2.7841
1024.7031	7.4133e-018	2.7841
1024.7188	7.4135e-018	2.7841
1024.7344	7.4137e-018	2.7841
1024.75	7.4139e-018	2.7841
1024.7656	7.4141e-018	2.7841
1024.7813	7.4144e-018	2.7841
1024.7969	7.4146e-018	2.7841
1024.8125	7.4148e-018	2.7842
1024.8281	7.415e-018	2.7842
1024.8438	7.4152e-018	2.7842
1024.8594	7.4154e-018	2.7842
1024.875	7.4156e-018	2.7842
1024.8906	7.4158e-018	2.7842
1024.9063	7.4161e-018	2.7842
1024.9219	7.4163e-018	2.7842
1024.9375	7.4165e-018	2.7842
1024.9531	7.4167e-018	2.7842
1024.9688	7.4169e-018	2.7842
1024.9844	7.4171e-018	2.7842
1025	7.4173e-018	2.7842
1025.0156	7.4175e-018	2.7842
1025.0313	7.4178e-018	2.7842
1025.0469	7.418e-018	2.7843
1025.0625	7.4182e-018	2.7843
1025.0781	7.4184e-018	2.7843
1025.0938	7.4186e-018	2.7843
1025.1094	7.4188e-018	2.7843
1025.125	7.419e-018	2.7843
1025.1406	7.4192e-018	2.7843
1025.1563	7.4195e-018	2.7843
1025.1719	7.4197e-018	2.7843
1025.1875	7.4199e-018	2.7843
1025.2031	7.4201e-018	2.7843
1025.2188	7.4203e-018	2.7843
1025.2344	7.4205e-018	2.7843
1025.25	7.4207e-018	2.7843
1025.2656	7.4209e-018	2.7843
1025.2813	7.4212e-018	2.7843
1025.2969	7.4214e-018	2.7844
1025.3125	7.4216e-018	2.7844
1025.3281	7.4218e-018	2.7844
1025.3438	7.422e-018	2.7844
1025.3594	7.4222e-018	2.7844
1025.375	7.4224e-018	2.7844
1025.3906	7.4226e-018	2.7844
1025.4063	7.4229e-018	2.7844
1025.4219	7.4231e-018	2.7844
1025.4375	7.4233e-018	2.7844
1025.4531	7.4235e-018	2.7844
1025.4688	7.4237e-018	2.7844
1025.4844	7.4239e-018	2.7844
1025.5	7.4241e-018	2.7844
1025.5156	7.4243e-018	2.7844
1025.5313	7.4246e-018	2.7844
1025.5469	7.4248e-018	2.7845
1025.5625	7.425e-018	2.7845
1025.5781	7.4252e-018	2.7845
1025.5938	7.4254e-018	2.7845
1025.6094	7.4256e-018	2.7845
1025.625	7.4258e-018	2.7845
1025.6406	7.426e-018	2.7845
1025.6563	7.4263e-018	2.7845
1025.6719	7.4265e-018	2.7845
1025.6875	7.4267e-018	2.7845
1025.7031	7.4269e-018	2.7845
1025.7188	7.4271e-018	2.7845
1025.7344	7.4273e-018	2.7845
1025.75	7.4275e-018	2.7845
1025.7656	7.4277e-018	2.7845
1025.7813	7.428e-018	2.7846
1025.7969	7.4282e-018	2.7846
1025.8125	7.4284e-018	2.7846
1025.8281	7.4286e-018	2.7846
1025.8438	7.4288e-018	2.7846
1025.8594	7.429e-018	2.7846
1025.875	7.4292e-018	2.7846
1025.8906	7.4294e-018	2.7846
1025.9063	7.4297e-018	2.7846
1025.9219	7.4299e-018	2.7846
1025.9375	7.4301e-018	2.7846
1025.9531	7.4303e-018	2.7846
1025.9688	7.4305e-018	2.7846
1025.9844	7.4307e-018	2.7846
1026	7.4309e-018	2.7846
1026.0156	7.4311e-018	2.7846
1026.0313	7.4314e-018	2.7847
1026.0469	7.4316e-018	2.7847
1026.0625	7.4318e-018	2.7847
1026.0781	7.432e-018	2.7847
1026.0938	7.4322e-018	2.7847
1026.1094	7.4324e-018	2.7847
1026.125	7.4326e-018	2.7847
1026.1406	7.4328e-018	2.7847
1026.1563	7.4331e-018	2.7847
1026.1719	7.4333e-018	2.7847
1026.1875	7.4335e-018	2.7847
1026.2031	7.4337e-018	2.7847
1026.2188	7.4339e-018	2.7847
1026.2344	7.4341e-018	2.7847
1026.25	7.4343e-018	2.7847
1026.2656	7.4345e-018	2.7848
1026.2813	7.4348e-018	2.7848
1026.2969	7.435e-018	2.7848
1026.3125	7.4352e-018	2.7848
1026.3281	7.4354e-018	2.7848
1026.3438	7.4356e-018	2.7848
1026.3594	7.4358e-018	2.7848
1026.375	7.436e-018	2.7848
1026.3906	7.4362e-018	2.7848
1026.4063	7.4365e-018	2.7848
1026.4219	7.4367e-018	2.7848
1026.4375	7.4369e-018	2.7848
1026.4531	7.4371e-018	2.7848
1026.4688	7.4373e-018	2.7848
1026.4844	7.4375e-018	2.7848
1026.5	7.4377e-018	2.7848
1026.5156	7.4379e-018	2.7849
1026.5313	7.4382e-018	2.7849
1026.5469	7.4384e-018	2.7849
1026.5625	7.4386e-018	2.7849
1026.5781	7.4388e-018	2.7849
1026.5938	7.439e-018	2.7849
1026.6094	7.4392e-018	2.7849
1026.625	7.4394e-018	2.7849
1026.6406	7.4396e-018	2.7849
1026.6563	7.4399e-018	2.7849
1026.6719	7.4401e-018	2.7849
1026.6875	7.4403e-018	2.7849
1026.7031	7.4405e-018	2.7849
1026.7188	7.4407e-018	2.7849
1026.7344	7.4409e-018	2.7849
1026.75	7.4411e-018	2.7849
1026.7656	7.4413e-018	2.785
1026.7813	7.4416e-018	2.785
1026.7969	7.4418e-018	2.785
1026.8125	7.442e-018	2.785
1026.8281	7.4422e-018	2.785
1026.8438	7.4424e-018	2.785
1026.8594	7.4426e-018	2.785
1026.875	7.4428e-018	2.785
1026.8906	7.443e-018	2.785
1026.9063	7.4433e-018	2.785
1026.9219	7.4435e-018	2.785
1026.9375	7.4437e-018	2.785
1026.9531	7.4439e-018	2.785
1026.9688	7.4441e-018	2.785
1026.9844	7.4443e-018	2.785
1027	7.4445e-018	2.7851
1027.0156	7.4447e-018	2.7851
1027.0313	7.445e-018	2.7851
1027.0469	7.4452e-018	2.7851
1027.0625	7.4454e-018	2.7851
1027.0781	7.4456e-018	2.7851
1027.0938	7.4458e-018	2.7851
1027.1094	7.446e-018	2.7851
1027.125	7.4462e-018	2.7851
1027.1406	7.4464e-018	2.7851
1027.1563	7.4467e-018	2.7851
1027.1719	7.4469e-018	2.7851
1027.1875	7.4471e-018	2.7851
1027.2031	7.4473e-018	2.7851
1027.2188	7.4475e-018	2.7851
1027.2344	7.4477e-018	2.7851
1027.25	7.4479e-018	2.7852
1027.2656	7.4481e-018	2.7852
