#Freq(Hz)	Mag(strain/ct)	Phase(rad)
3.7031	8.8174e-013	-0.54166
3.7188	8.6654e-013	-0.54745
3.7344	8.5092e-013	-0.55271
3.75	8.3608e-013	-0.55839
3.7656	8.2107e-013	-0.56369
3.7813	8.0857e-013	-0.57085
3.7969	7.9377e-013	-0.57594
3.8125	7.801e-013	-0.58172
3.8281	7.6674e-013	-0.58761
3.8438	7.5397e-013	-0.59381
3.8594	7.4088e-013	-0.59953
3.875	7.2872e-013	-0.60591
3.8906	7.1579e-013	-0.61131
3.9063	7.0349e-013	-0.61719
3.9219	6.9239e-013	-0.62401
3.9375	6.7956e-013	-0.62889
3.9531	6.6871e-013	-0.63558
3.9688	6.5739e-013	-0.64163
3.9844	6.4723e-013	-0.64868
4	6.3518e-013	-0.65347
4.0156	6.2384e-013	-0.65882
4.0313	6.1345e-013	-0.66501
4.0469	6.0358e-013	-0.67161
4.0625	5.9267e-013	-0.67676
4.0781	5.8325e-013	-0.68348
4.0938	5.731e-013	-0.68911
4.1094	5.6354e-013	-0.69529
4.125	5.542e-013	-0.70154
4.1406	5.4442e-013	-0.70694
4.1563	5.3574e-013	-0.71364
4.1719	5.2616e-013	-0.71886
4.1875	5.1718e-013	-0.72466
4.2031	5.0925e-013	-0.73183
4.2188	5.0031e-013	-0.73727
4.2344	4.9141e-013	-0.74245
4.25	4.8349e-013	-0.74896
4.2656	4.7537e-013	-0.75497
4.2813	4.6728e-013	-0.76077
4.2969	4.59e-013	-0.76596
4.3125	4.5162e-013	-0.77244
4.3281	4.4436e-013	-0.77895
4.3438	4.3676e-013	-0.78461
4.3594	4.2914e-013	-0.78998
4.375	4.2171e-013	-0.79544
4.3906	4.1457e-013	-0.80117
4.4063	4.0792e-013	-0.80758
4.4219	4.0073e-013	-0.8127
4.4375	3.9447e-013	-0.81947
4.4531	3.8779e-013	-0.82513
4.4688	3.808e-013	-0.82983
4.4844	3.744e-013	-0.83555
4.5	3.6844e-013	-0.84196
4.5156	3.6205e-013	-0.84718
4.5313	3.5612e-013	-0.85318
4.5469	3.4987e-013	-0.85814
4.5625	3.444e-013	-0.86473
4.5781	3.3876e-013	-0.87064
4.5938	3.329e-013	-0.87574
4.6094	3.2695e-013	-0.8803
4.625	3.2169e-013	-0.8864
4.6406	3.1646e-013	-0.89229
4.6563	3.1088e-013	-0.89695
4.6719	3.0588e-013	-0.90297
4.6875	3.0034e-013	-0.90713
4.7031	2.9541e-013	-0.91275
4.7188	2.9038e-013	-0.91786
4.7344	2.8551e-013	-0.92305
4.75	2.8061e-013	-0.92792
4.7656	2.7593e-013	-0.93319
4.7813	2.7134e-013	-0.93844
4.7969	2.6679e-013	-0.94353
4.8125	2.623e-013	-0.94851
4.8281	2.5811e-013	-0.95427
4.8438	2.5338e-013	-0.95781
4.8594	2.4934e-013	-0.96351
4.875	2.4542e-013	-0.96937
4.8906	2.4096e-013	-0.97289
4.9063	2.3741e-013	-0.9796
4.9219	2.3292e-013	-0.98234
4.9375	2.2902e-013	-0.98703
4.9531	2.2523e-013	-0.99188
4.9688	2.2175e-013	-0.99781
4.9844	2.1801e-013	-1.0022
5	2.1431e-013	-1.0066
5.0156	2.106e-013	-1.0105
5.0313	2.071e-013	-1.0151
5.0469	2.0375e-013	-1.02
5.0625	2.0041e-013	-1.0247
5.0781	1.969e-013	-1.0282
5.0938	1.9371e-013	-1.033
5.1094	1.907e-013	-1.0383
5.125	1.8736e-013	-1.0417
5.1406	1.8411e-013	-1.0451
5.1563	1.8131e-013	-1.0507
5.1719	1.7827e-013	-1.0546
5.1875	1.7527e-013	-1.0585
5.2031	1.724e-013	-1.0627
5.2188	1.6947e-013	-1.0662
5.2344	1.6672e-013	-1.0704
5.25	1.6409e-013	-1.0751
5.2656	1.6126e-013	-1.0782
5.2813	1.5876e-013	-1.0831
5.2969	1.5598e-013	-1.0857
5.3125	1.5357e-013	-1.0905
5.3281	1.5091e-013	-1.0933
5.3438	1.4846e-013	-1.0972
5.3594	1.4622e-013	-1.1022
5.375	1.4372e-013	-1.1049
5.3906	1.4142e-013	-1.1089
5.4063	1.3908e-013	-1.1121
5.4219	1.3689e-013	-1.1163
5.4375	1.3439e-013	-1.1175
5.4531	1.324e-013	-1.1225
5.4688	1.3025e-013	-1.1258
5.4844	1.2818e-013	-1.1295
5.5	1.2611e-013	-1.1329
5.5156	1.2402e-013	-1.1356
5.5313	1.2208e-013	-1.1394
5.5469	1.2012e-013	-1.1426
5.5625	1.1815e-013	-1.1454
5.5781	1.1621e-013	-1.1481
5.5938	1.1447e-013	-1.1523
5.6094	1.1261e-013	-1.1552
5.625	1.1071e-013	-1.1572
5.6406	1.0904e-013	-1.1611
5.6563	1.0732e-013	-1.1643
5.6719	1.0565e-013	-1.1675
5.6875	1.0386e-013	-1.1691
5.7031	1.0239e-013	-1.1739
5.7188	1.0065e-013	-1.1754
5.7344	9.9098e-014	-1.1786
5.75	9.7533e-014	-1.1813
5.7656	9.6025e-014	-1.1843
5.7813	9.4412e-014	-1.1856
5.7969	9.2972e-014	-1.1888
5.8125	9.1516e-014	-1.1914
5.8281	9.0113e-014	-1.1943
5.8438	8.8778e-014	-1.1978
5.8594	8.7385e-014	-1.2001
5.875	8.5981e-014	-1.2019
5.8906	8.4692e-014	-1.205
5.9063	8.3344e-014	-1.2069
5.9219	8.2027e-014	-1.2088
5.9375	8.0797e-014	-1.2117
5.9531	7.9597e-014	-1.2147
5.9688	7.8279e-014	-1.2155
5.9844	7.7069e-014	-1.2175
6	7.5948e-014	-1.2208
6.0156	7.4821e-014	-1.2235
6.0313	7.3708e-014	-1.2262
6.0469	7.2522e-014	-1.2272
6.0625	7.1381e-014	-1.2285
6.0781	7.0369e-014	-1.2319
6.0938	6.9275e-014	-1.2334
6.1094	6.8222e-014	-1.2353
6.125	6.7187e-014	-1.2371
6.1406	6.6194e-014	-1.2394
6.1563	6.5219e-014	-1.2417
6.1719	6.423e-014	-1.2434
6.1875	6.3278e-014	-1.2454
6.2031	6.2345e-014	-1.2475
6.2188	6.135e-014	-1.2478
6.2344	6.0491e-014	-1.2508
6.25	5.9597e-014	-1.2526
6.2656	5.8704e-014	-1.2541
6.2813	5.7857e-014	-1.2563
6.2969	5.7019e-014	-1.2583
6.3125	5.6138e-014	-1.2589
6.3281	5.5327e-014	-1.2609
6.3438	5.4518e-014	-1.2625
6.3594	5.373e-014	-1.2643
6.375	5.2913e-014	-1.265
6.3906	5.2162e-014	-1.267
6.4063	5.1434e-014	-1.2694
