%Time	alpha*beta	alpha	beta	darm	LineAmp/ref
714271560          0          0          0          0          0
714271620                   0                   0                   0                   0   0.006532482446512
714271680          0          0          0          0          0
714271740          0          0          0          0          0
714271800          0          0          0          0          0
714271860          0          0          0          0          0
714271920          0          0          0          0          0
714271980                   0                   0                   0                   0  0.0003231780421716
714272040          0          0          0          0          0
714272100          0          0          0          0          0
714272160          0          0          0          0          0
714272220          0          0          0          0          0
714272280          0          0          0          0          0
714272340          0          0          0          0          0
714272400                   0                   0                   0                   0    0.01765923932356
714272460          0          0          0          0          0
714272520          0          0          0          0          0
714272580          0          0          0          0          0
714272640          0          0          0          0          0
714272700          0          0          0          0          0
714272760          0          0          0          0          0
714272820          0          0          0          0          0
714272880          0          0          0          0          0
714272940          0          0          0          0          0
714273000          0          0          0          0          0
714273060          0          0          0          0          0
714273120                   0                   0                   0                   0    0.01141103720721
714273180                   0                   0                   0                   0    0.02017923034082
714273240          0          0          0          0          0
714273300          0          0          0          0          0
714273360          0          0          0          0          0
714273420          0          0          0          0          0
714273480                   0                   0                   0                   0    0.01205933039469
714273540          0          0          0          0          0
714273600          0          0          0          0          0
714273660          0          0          0          0          0
714273720                   0                   0                   0                   0    0.01123990751244
714273780          0          0          0          0          0
714273840          0          0          0          0          0
714273900          0          0          0          0          0
714273960          0          0          0          0          0
714274020          0          0          0          0          0
714274080          0          0          0          0          0
714274140                   0                   0                   0                   0    0.01102489051343
714274200          0          0          0          0          0
714274260                   0                   0                   0                   0    0.02893791425662
714274320                   0                   0                   0                   0   0.005086190795421
714274380                   0                   0                   0                   0    0.02085659456556
714274440          0          0          0          0          0
714274500          0          0          0          0          0
714274560          0          0          0          0          0
714274620          0          0          0          0          0
714274680          0          0          0          0          0
714274740          0          0          0          0          0
714274800          0          0          0          0          0
714274860          0          0          0          0          0
714274920          0          0          0          0          0
714274980          0          0          0          0          0
714275040          0          0          0          0          0
714275100          0          0          0          0          0
714275160                   0                   0                   0                   0    0.01588917239104
714275220          0          0          0          0          0
714275280          0          0          0          0          0
714275340          0          0          0          0          0
714275400          0          0          0          0          0
714275460          0          0          0          0          0
714275520                   0                   0                   0                   0   0.009134657255942
