# Veto file created Thu Apr 24 18:31:02 PDT 2008 by kipp on ldas-pcdev1.ligo.caltech.edu
# Input: S4H1H2L1v11_segs.txt (run S4, ifos H1H2L1, version 11)
# Don't analyze data with the following flags: H1:ADC_OVERFLOW H1:INJECTION_BURST H1:INJECTION_INSPIRAL H1:INJECTION_PULSTART H1:INJECTION_STOCHASTIC H1:JET H1:OUTSIDE_S4 H1:PRELOCKLOSS_30 H1:RDS_C04_LX_HFHTDIFF_GT_10_PERCENT H1:SEISMIC_0D9_1D1 H2:ADC_OVERFLOW H2:INJECTION_BURST H2:INJECTION_INSPIRAL H2:INJECTION_PULSTART H2:INJECTION_STOCHASTIC H2:JET H2:OUTSIDE_S4 H2:PRELOCKLOSS_30 H2:RDS_C04_LX_HFHTDIFF_GT_10_PERCENT H2:SEISMIC_0D9_1D1 H2:WIND_OVER_30MPH L1:ADC_OVERFLOW L1:INJECTION_BURST L1:INJECTION_INSPIRAL L1:INJECTION_PULSTART L1:INJECTION_STOCHASTIC L1:NO_DATA L1:NO_RDS L1:OUT_OF_LOCK L1:OUTSIDE_S4 L1:PRELOCKLOSS_30 L1:RDS_C04_LX_HFHTDIFF_GT_10_PERCENT
# Analyze but then veto data with the following flags: H1:ASDC_LOW_THRESH H1:CALIB_LINE_DROPOUT H1:LIGHTDIP_04PERCENT H2:CALIB_LINE_DROPOUT H2:LIGHTDIP_05PERCENT L1:ASDC_LOW_THRESH L1:CALIB_LINE_DROPOUT L1:LIGHTDIP_05PERCENT
# Total analyzed data to be vetoed: 36296
# start      stop
793508376 793508379
793508458 793508461
793508572 793508574
793508715 793508717
793508913 793508915
793508918 793508921
793508924 793508926
793509124 793509127
793509184 793509186
793509209 793509211
793509283 793509286
793509296 793509298
793509301 793509303
793509367 793509369
793509441 793509444
793509705 793509707
793509749 793509752
793509958 793509960
793510051 793510054
793510085 793510088
793510093 793510095
793510173 793510176
793510221 793510223
793510342 793510344
793510436 793510439
793510478 793510480
793510821 793510825
793510880 793510882
793510945 793510948
793511014 793511017
793511079 793511081
793511091 793511093
793511381 793511383
793511476 793511480
793511573 793511575
793511614 793511617
793511971 793511973
793512025 793512028
793512214 793512216
793512235 793512237
793512324 793512326
793512369 793512371
793512563 793512566
793512702 793512704
793512874 793512877
793512921 793512923
793513068 793513070
793513331 793513333
793513386 793513388
793513392 793513394
793513557 793513559
793513588 793513592
793513715 793513719
793513735 793513737
793513771 793513773
793513804 793513806
793513841 793513843
793513893 793513897
793513902 793513904
793514060 793514062
793514100 793514102
793514263 793514268
793514277 793514280
793514562 793514564
793514571 793514573
793514676 793514678
793514714 793514716
793514791 793514793
793515104 793515106
793515144 793515146
793515371 793515373
793515480 793515482
793515527 793515529
793515675 793515677
793515688 793515692
793515824 793515826
793515857 793515860
793515934 793515936
793519261 793519264
793520155 793520158
793520401 793520403
793520728 793520730
793520907 793520909
793521097 793521099
793521167 793521170
793521180 793521182
793521206 793521208
793521604 793521606
793521616 793521618
793521625 793521627
793521718 793521721
793521749 793521751
793521828 793521831
793521837 793521842
793521927 793521929
793521933 793521936
793530530 793530533
793531428 793531431
793531605 793531608
793531736 793531739
793531813 793531816
793531839 793531842
793531983 793531985
793532023 793532026
793533092 793533094
793533163 793533165
793533321 793533324
793533338 793533341
793533670 793533672
793534011 793534014
793534583 793534585
793534629 793534631
793534634 793534638
793534725 793534727
793535020 793535024
793535316 793535318
793535407 793535410
793535436 793535438
793535473 793535475
793535571 793535573
793535670 793535674
793535685 793535689
793535836 793535838
793536012 793536014
793536074 793536077
793536145 793536146
793536164 793536166
793536168 793536171
793536390 793536392
793536430 793536432
793536438 793536440
793536443 793536445
793536476 793536479
793536482 793536484
793536516 793536518
793536528 793536530
793536538 793536541
793536557 793536559
793536612 793536615
793536619 793536623
793536662 793536665
793536676 793536678
793536747 793536749
793536756 793536758
793536780 793536789
793536806 793536808
793536811 793536815
793536817 793536824
793536829 793536833
793536835 793536837
793536918 793536921
793536932 793536936
793536938 793536940
793536969 793536971
793536975 793536978
793537005 793537007
793537047 793537049
793537053 793537058
793537079 793537080
793538287 793538289
793538323 793538325
793538350 793538352
793538375 793538377
793538383 793538386
793538388 793538390
793538403 793538405
793539945 793539949
793540047 793540049
793540131 793540133
793540438 793540440
793540459 793540461
793540522 793540524
793540575 793540579
793540624 793540626
793540685 793540687
793540855 793540858
793540900 793540904
793540968 793540970
793540982 793540985
793541074 793541076
793541078 793541080
793541217 793541219
793541227 793541229
793541260 793541262
793541407 793541409
793541453 793541457
793541459 793541461
793541576 793541578
793541620 793541624
793541716 793541718
793541762 793541765
793541926 793541930
793541947 793541950
793542006 793542008
793542080 793542082
793542098 793542100
793542104 793542106
793542119 793542126
793542161 793542164
793542316 793542318
793542396 793542398
793542445 793542447
793542492 793542494
793542501 793542503
793542543 793542546
793542611 793542614
793542717 793542720
793542823 793542827
793542902 793542904
793542914 793542916
793543061 793543064
793543206 793543208
793543224 793543226
793543321 793543323
793543414 793543418
793543528 793543530
793543564 793543566
793543602 793543604
793543865 793543867
793543966 793543968
793543976 793543980
793544084 793544087
793544217 793544219
793544226 793544231
793544316 793544318
793544374 793544376
793544402 793544405
793544451 793544454
793544664 793544668
793544686 793544690
793544692 793544694
793544757 793544759
793544775 793544777
793544801 793544805
793544898 793544903
793544905 793544910
793544993 793544995
793545034 793545037
793545045 793545050
793545088 793545090
793545140 793545142
793545204 793545207
793545247 793545249
793545296 793545298
793545303 793545305
793545316 793545319
793545349 793545351
793545378 793545383
793545386 793545390
793545392 793545394
793545438 793545441
793545444 793545447
793545527 793545529
793545533 793545536
793545635 793545639
793545741 793545744
793545844 793545848
793546037 793546039
793546095 793546097
793546098 793546101
793546162 793546164
793546171 793546174
793546181 793546183
793546186 793546188
793546342 793546344
793546400 793546402
793546419 793546423
793546440 793546442
793546509 793546511
