H2 science mode segment list
START-GPS   STOP-GPS   LENGTH
755835244 755841404 6160
755841964 755847224 5260
755848684 755868524 19840
755869264 755870144 880
755870764 755878604 7840
755879884 755880344 460
755884924 755885504 580
755887804 755888324 520
755889604 755892404 2800
755895544 755896004 460
755917031 755918504 1473
755919851 755925164 5313
755925971 755931164 5193
755932511 755934464 1953
755935031 755939144 4113
755940071 755945384 5313
755946191 755961824 15633
755963111 755972084 8973
755974571 755977064 2493
755978831 755982944 4113
755984471 755986304 1833
755987411 755992064 4653
755992871 755992904 33
755993204 755993261 57
755994060 755995004 944
755995980 755997164 1184
755999760 756001424 1664
756002460 756012704 10244
756013440 756018704 5264
756019440 756024164 4724
756024960 756027824 2864
756028500 756047984 19484
756048540 756056100 7560
756062700 756068084 5384
756068640 756078704 10064
756079380 756091724 12344
756093300 756101684 8384
756102660 756113564 10904
756114180 756118664 4484
756119460 756144464 25004
756145680 756150284 4604
756152160 756155864 3704
756161520 756161804 284
756165840 756166304 464
756167220 756167564 344
756168600 756168884 284
756171060 756172364 1304
756173400 756177704 4304
756178740 756181604 2864
756182220 756183044 824
756184200 756186764 2564
756187620 756194504 6884
756195120 756204524 9404
756205500 756207300 1800
756209393 756220844 11451
756222053 756223904 1851
756224633 756232124 7491
756234053 756234643 590
756235373 756237524 2151
756238193 756238784 591
756239813 756242804 2991
756244613 756245204 591
756246653 756246944 291
756247673 756249344 1671
756250013 756250184 171
756254333 756255044 711
756255773 756256544 771
756259493 756265844 6351
756266453 756267044 591
756267653 756270764 3111
756271613 756272384 771
756272993 756285644 12651
756287393 756288644 1251
756289433 756291405 1972
756291406 756294164 2758
756295613 756296024 411
756298613 756298724 111
756300893 756302204 1311
756303833 756304244 411
756304793 756307505 2712
756307506 756307748 242
756307749 756307904 155
756308753 756308864 111
756314153 756314744 591
756316193 756318164 1971
756323093 756323864 771
756331313 756333884 2571
756334673 756335864 1191
756337193 756337364 171
756338453 756339044 591
756353873 756354044 171
756354953 756356203 1250
756363653 756363824 171
756393353 756397064 3711
756398753 756400124 1371
756401933 756402104 171
756403013 756405704 2691
756406493 756408884 2391
756410633 756412364 1731
756415913 756417584 1671
756419513 756420944 1431
756422693 756426824 4131
756428993 756430784 1791
756431513 756435404 3891
756436013 756438284 2271
756439253 756439724 471
756441233 756442484 1251
756444293 756450764 6471
756452093 756452204 111
756453113 756468464 15351
756469793 756478566 8773
756478567 756478908 341
756478909 756478964 55
756480353 756486404 6051
756489353 756493364 4011
756495233 756500153 4920
756501413 756506084 4671
756511193 756511784 591
756515453 756533444 17991
756534173 756536924 2751
756537473 756537822 349
756538373 756539744 1371
756540173 756558884 18711
756559493 756571484 11991
756572393 756573884 1491
756576353 756576884 531
756581633 756600704 19071
756601853 756602624 771
756605513 756607724 2211
756608213 756611864 3651
756612593 756631484 18891
756632633 756640433 7800
756640488 756641028 540
756641137 756641197 60
756641224 756641464 240
756641542 756648442 6900
756678313 756679424 1111
756680953 756688724 7771
756689353 756690104 751
756690613 756697244 6631
756698173 756720673 22500
756720853 756738164 17311
756739693 756742844 3151
756743953 756745724 1771
756746773 756747344 571
756748093 756748664 571
756753253 756753464 211
756754933 756755024 91
756759793 756760904 1111
756761653 756761744 91
756762973 756765524 2551
756767653 756767804 151
756769333 756772784 3451
756774073 756780704 6631
756781873 756785564 3691
756786433 756791444 5011
756792253 756796964 4711
756797653 756813644 15991
756815173 756825884 10711
756826813 756835124 8311
756836773 756846704 9931
756848053 756852104 4051
756853333 756855524 2191
756856573 756858944 2371
756861673 756862604 931
756863113 756867284 4171
756867793 756886724 18931
756888613 756893924 5311
756894793 756903944 9151
756904513 756917593 13080
756917633 756917753 120
756917780 756924560 6780
756926180 756933200 7020
756934460 756938240 3780
756939260 756939800 540
756941660 756942260 600
756947600 756950403 2803
756954766 756961904 7138
756962746 756987584 24838
756988246 756997184 8938
756997846 757007264 9418
757008406 757010622 2216
757011586 757012244 658
757014346 757015904 1558
757018006 757019984 1978
757020886 757021662 776
757041766 757044044 2278
757046326 757048184 1858
757058986 757062164 3178
757064866 757069596 4730
757070506 757078784 8278
757080106 757084664 4558
757086166 757092584 6418
757093786 757094684 898
757096486 757096966 480
757128586 757142984 14398
757144186 757153364 9178
757154986 757178624 23638
757190326 757191884 1558
757193806 757198724 4918
757199446 757201784 2338
757202806 757207659 4853
757209046 757209524 478
757210246 757224282 14036
757225186 757229624 4438
757230406 757238384 7978
757239166 757246424 7258
757247506 757262321 14815
757263166 757268615 5449
757269706 757270300 594
757270906 757272456 1550
757273066 757277204 4138
757277806 757306897 29091
757307986 757313075 5089
757315126 757315606 480
757315726 757316446 720
757316866 757317406 540
757317586 757317884 298
757320826 757324724 3898
757325446 757330004 4558
757332406 757356826 24420
757370146 757375600 5454
757376064 757376686 622
757378486 757381005 2519
757381006 757381467 461
757381468 757381472 4
757381473 757381478 5
757381479 757381503 24
757381504 757382851 1347
757382852 757382875 23
757382876 757382926 50
757384256 757413224 28968
757414186 757414664 478
757415266 757417246 1980
757418026 757452344 34318
757462786 757464457 1671
757465546 757467284 1738
757468546 757469616 1070
757471246 757472264 1018
757473346 757477364 4018
757478386 757479044 658
757481506 757493744 12238
757495006 757497164 2158
757504126 757507904 3778
757509226 757511144 1918
757512766 757517563 4797
757518286 757519244 958
757519846 757521884 2038
757523086 757523204 118
757527166 757532506 5340
757543426 757544564 1138
757545406 757549664 4258
757554286 757554824 538
757555426 757559384 3958
757560166 757560704 538
757561726 757563164 1438
757564726 757571984 7258
757574206 757579476 5270
757580506 757590106 9600
757590108 757609484 19376
757617768 757618904 1136
757620168 757628204 8036
757628928 757631924 2996
757636788 757637624 836
757638288 757639064 776
757640148 757642244 2096
757643688 757644644 956
757646088 757649804 3716
757651068 757669357 18289
757673328 757674528 1200
757674529 757674584 55
757676209 757689524 13315
757690189 757699213 9024
