L1 science mode segment list
START-GPS   STOP-GPS   LENGTH
733201747 733202340 593
733204025 733206000 1975
733206731 733207680 949
733208520 733209544 1024
733209741 733220773 11032
733220775 733222860 2085
733227060 733228836 1776
733230755 733231740 985
733239202 733239681 479
733245691 733246380 689
733281700 733289400 7700
733291380 733291740 360
733294287 733297020 2733
733298070 733298134 64
733298422 733300726 2304
733303712 733303782 70
733303870 733310820 6950
733311728 733312018 290
733312873 733318560 5687
733321217 733325040 3823
733325795 733326300 505
733370406 733371540 1134
733373476 733376280 2804
733377890 733378265 375
733380620 733402559 21939
733447080 733447860 780
733451182 733453320 2138
733457522 733465560 8038
733470180 733470591 411
733470885 733474620 3735
733478816 733480800 1984
733485743 733488360 2617
733489085 733491300 2215
733491980 733493040 1060
733495846 733498680 2834
733498740 733501380 2640
733504626 733504980 354
733534352 733540260 5908
733542870 733543032 162
733543078 733565820 22742
733569060 733574817 5757
733574819 733575240 421
733582020 733596240 14220
733608803 733617479 8676
733620065 733620240 175
733622583 733624140 1557
733629438 733646943 17505
733652923 733667400 14477
733668999 733669920 921
733672865 733680120 7255
733682823 733685340 2517
733686720 733686900 180
733693026 733693080 54
733695218 733707660 12442
733709428 733724340 14912
733728000 733737960 9960
733740662 733749900 9238
733751305 733751820 515
733758300 733759380 1080
733760110 733762020 1910
733766580 733766880 300
733767490 733767960 470
733907205 733920600 13395
733932780 733935034 2254
733935578 733936680 1102
733970280 733971360 1080
734095104 734099651 4547
734099653 734100240 587
734137709 734141228 3519
734146615 734153642 7027
734153644 734156760 3116
734159033 734161841 2808
734161843 734164920 3077
734173920 734178180 4260
734181930 734191095 9165
734199395 734199480 85
734207789 734207939 150
734214091 734218860 4769
734220978 734223840 2862
734232486 734235360 2874
734236681 734238120 1439
734238180 734250780 12600
734253858 734258760 4902
734263991 734276280 12289
734278548 734279400 852
734281930 734290620 8690
734290680 734290860 180
734294364 734299980 5616
734304911 734313720 8809
734316485 734316720 235
734319380 734326200 6820
734327420 734338200 10780
734339982 734340420 438
734343494 734355660 12166
734357353 734361060 3707
734363951 734364000 49
734366715 734367000 285
