H1 science mode segment list
START-GPS   STOP-GPS   LENGTH
733956745 733960140 3395
733960200 733961760 1560
733961820 733971420 9600
733971540 733972767 1227
734007862 734010960 3098
734011020 734012564 1544
734074443 734075820 1377
734078543 734090940 12397
734091000 734103600 12600
734103660 734170200 66540
734178466 734181783 3317
734182324 734183460 1136
734183520 734192220 8700
734192280 734223660 31380
734223720 734224592 872
734227620 734252160 24540
734257440 734317740 60300
734317800 734325063 7263
734327737 734348220 20483
734350137 734351040 903
734353142 734357220 4078
734357340 734367613 10273
