# This is the BNS population 
# Sources cataloged by Ravi Kumar
# file generated by Chad Hanna March 23 2006
#NAME	     #RA       #DEC	   #DIST   #LUM	 #FUDGE 	
ESO434-030   +09:44.5  -31:33.4  14916.7   0.022  1.0
ESO501-079   +10:41.4  -23:23.0  14916.7   0.112  1.0
IC2507       +09:44.5  -31:47.3  14916.7   0.373  1.0
NGC4343      +12:23.6  +06:57.2  14916.7   0.417  1.0
UGC08181     +13:05.4  +32:54.0  14916.7   0.043  1.0
ESO219-039   +13:13.7  -49:27.2  14930.6   0.184  1.0
ESO406-040   +23:00.4  -37:12.1  14930.6   0.011  1.0
PGC092177    +06:01.7  -34:56.6  14930.6   0.021  1.0
ESO120-021   +05:53.2  -59:04.0  14944.4   0.023  1.0
PGC707153    +03:23.5  -31:16.1  14944.4   0.003  1.0
ESO434-033   +09:44.8  -31:49.5  15000.0   0.288  1.0
M91          +12:35.2  +14:29.4  15000.0   1.74  1.0 
NGC1035      +02:37.1  -08:20.0  15000.0   0.461  1.0
NGC1337      +03:25.7  -08:34.0  15000.0   0.863  1.0
PGC2806928   +11:48.2  +18:38.5  15000.0   0.011  1.0
UGC7534      +12:23.8  +58:35.0  15000.0   0.106  1.0
UGC9893      +15:31.3  +46:37.0  15000.0   0.042  1.0
UGCA410      +15:35.8  +55:26.0  15000.0   0.042  1.0
ESO435-020   +09:59.3  -28:08.0  15027.8   0.082  1.0
PGC732423    +03:01.9  -29:10.6  15027.8   0.003  1.0
IC2135       +05:33.2  -36:23.9  15055.6   0.673  1.0
PGC041626    +12:32.8  +02:47.8  15069.4   0.006  1.0
IC3328       +12:25.9  +10:03.2  15083.3   0.059  1.0
PGC054545    +15:17.0  +39:41.8  15083.3   0.021  1.0
IC2147       +05:43.4  -30:29.7  15097.2   0.233  1.0
NGC1511      +03:59.3  -67:46.0  15100.0   0.895  1.0
NGC4753      +12:49.8  -00:56.0  15100.0   1.629  1.0
NGC7814      +00:00.7  +15:52.0  15100.0   1.528  1.0
UGC12060     +22:28.2  +33:34.0  15100.0   0.108  1.0
UGC2053      +02:31.5  +29:32.0  15100.0   0.049  1.0
UGC7512      +12:23.2  +02:26.0  15100.0   0.042  1.0
IC2828       +11:27.2  +08:43.9  15111.1   0.079  1.0
PGC1218832   +11:57.4  +02:11.2  15111.1   0.003  1.0
ESO017-002   +07:32.3  -77:55.1  15125.0   0.201  1.0
ESO219-027   +13:06.5  -49:49.7  15152.8   0.005  1.0
ESO264-044   +10:48.8  -46:02.0  15152.8   0.012  1.0
UGC10477     +16:37.6  +37:17.1  15152.8   0.048  1.0
NGC1073      +02:41.1  +01:10.0  15200.0   0.929  1.0
NGC1537      +04:11.7  -31:46.0  15200.0   0.809  1.0
NGC4303      +12:19.4  +04:45.0  15200.0   2.992  1.0
NGC4800      +12:52.3  +46:48.0  15200.0   0.479  1.0
NGC685       +01:45.9  -53:02.0  15200.0   0.631  1.0
UGC7739      +12:32.2  +06:34.0  15200.0   0.047  1.0
NGC4580      +12:37.8  +05:22.1  15208.3   0.353  1.0
PGC1073696   +12:46.1  -03:16.1  15250.0   0.003  1.0
PGC772293    +03:27.3  -26:02.1  15250.0   0.002  1.0
ESO438-017   +11:17.3  -27:49.3  15277.8   0.322  1.0
PGC033523    +11:05.5  +17:38.3  15291.7   0.072  1.0
NGC5866      +15:05.1  +55:57.0  15300.0   1.675  1.0
ESO291-003   +23:11.2  -42:50.8  15305.6   0.083  1.0
ESO265-002   +11:01.0  -43:40.6  15319.4   0.071  1.0
ESO362-016   +05:19.3  -37:06.4  15333.3   0.014  1.0
PGC473227    +03:52.6  -49:47.0  15333.3   0.010  1.0
PGC103015    +03:47.9  -42:01.1  15347.2   0.012  1.0
ESO362-011   +05:16.6  -37:06.1  15361.1   1.028  1.0
PGC042406    +12:40.0  +13:46.9  15375.0   0.024  1.0
PGC135828    +13:29.9  +01:32.8  15375.0   0.016  1.0
UGC6877      +11:51.7  +00:25.0  15400.0   0.134  1.0
IC2040       +04:13.0  -32:33.2  15402.8   0.114  1.0
IC2554       +10:08.8  -67:01.6  15402.8   1.247  1.0
PGC093115    +11:56.6  +48:20.1  15402.8   0.179  1.0
PGC1136400   +12:41.5  -00:43.2  15402.8   0.003  1.0
PGC087906    +01:54.1  -13:54.4  15416.7   0.017  1.0
IC3465       +12:32.2  +12:03.7  15430.6   0.009  1.0
PGC1143249   +12:43.0  -00:26.4  15430.6   0.001  1.0
ESO059-009   +07:36.2  -70:42.6  15444.4   0.180  1.0
IC5377       +00:02.0  +16:35.4  15444.4   0.051  1.0
NGC4509      +12:33.1  +32:05.5  15444.4   0.047  1.0
ESO171-013   +12:10.8  -52:51.4  15472.2   0.098  1.0
NGC5470      +14:06.5  +06:01.7  15486.1   0.296  1.0
PGC1150193   +12:52.6  -00:10.0  15486.1   0.001  1.0
NGC3511      +11:00.8  -22:50.0  15500.0   1.786  1.0
NGC4156      +12:08.3  +39:45.0  15500.0   0.100  1.0
NGC4532      +12:31.8  +06:45.0  15500.0   0.673  1.0
ESO361-009   +04:46.9  -35:55.0  15513.9   0.054  1.0
ESO358-043   +03:38.2  -33:07.6  15527.8   0.051  1.0
IC3218       +12:22.3  +06:55.6  15527.8   0.023  1.0
NGC0428      +01:12.9  +00:58.9  15527.8   0.887  1.0
ESO063-011   +11:13.1  -69:15.9  15541.7   1.368  1.0
ESO371-027   +08:54.7  -32:49.0  15541.7   0.026  1.0
ESO505-012   +12:05.9  -27:00.9  15541.7   0.052  1.0
NGC5866B     +15:12.1  +55:47.0  15541.7   0.041  1.0
UGC07176     +12:10.9  +50:17.2  15555.6   0.025  1.0
PGC791077    +03:16.4  -24:19.9  15569.4   0.007  1.0
PGC031819    +10:41.2  +21:21.7  15583.3   0.012  1.0
NGC4336      +12:23.5  +19:25.6  15597.2   0.219  1.0
NGC4845      +12:55.4  +01:50.0  15600.0   1.038  1.0
PGC125939    +12:40.1  -05:49.1  15611.1   0.019  1.0
PGC183384    +12:52.6  -01:43.8  15611.1   0.015  1.0
IC0356       +04:07.7  +69:48.7  15625.0   6.194  1.0
PGC1234100   +12:44.3  +02:40.0  15625.0   0.001  1.0
ESO248-002   +03:05.1  -45:57.7  15638.9   0.227  1.0
PGC1097431   +12:41.2  -02:15.0  15638.9   0.004  1.0
UGC00772     +01:13.6  +00:52.5  15638.9   0.018  1.0
IC3461       +12:32.0  +11:53.3  15694.4   0.036  1.0
IC2006       +03:52.2  -36:08.0  15700.0   0.474  1.0
NGC1292      +03:16.0  -27:48.0  15700.0   0.511  1.0
NGC4880      +12:57.7  +12:45.0  15700.0   0.461  1.0
UGC11707     +21:12.3  +26:32.0  15700.0   0.167  1.0
ESO151-019   +01:02.3  -54:19.6  15722.2   0.052  1.0
NGC5870      +15:06.5  +55:28.7  15722.2   0.053  1.0
UGC06594     +11:37.6  +16:33.3  15736.1   0.141  1.0
ESO251-003   +04:28.7  -46:19.3  15750.0   0.024  1.0
PGC135491    +23:04.4  -39:07.3  15750.0   0.009  1.0
PGC768347    +02:14.7  -26:23.5  15750.0   0.003  1.0
ESO054-021   +03:49.8  -71:38.0  15763.9   0.474  1.0
PGC040428    +12:24.8  +06:45.5  15777.8   0.027  1.0
PGC1083027   +12:37.7  -02:46.9  15777.8   0.011  1.0
ESO548-029   +03:30.8  -21:03.5  15791.7   0.116  1.0
UGC10310     +16:14.8  +47:10.0  15800.0   0.157  1.0
ESO572-023   +11:56.9  -19:51.3  15805.6   0.143  1.0
PGC747879    +03:36.8  -27:56.0  15819.4   0.013  1.0
IC3576       +12:36.6  +06:37.2  15833.3   0.117  1.0
NGC2788B     +09:03.5  -67:58.0  15833.3   0.219  1.0
UGC06917     +11:56.5  +50:25.7  15833.3   0.328  1.0
ESO371-030   +09:00.3  -34:04.7  15847.2   0.231  1.0
PGC2458152   +11:37.7  +54:02.7  15861.1   0.010  1.0
PGC709417    +00:45.5  -31:04.9  15875.0   0.002  1.0
NGC7361      +22:39.6  -30:20.0  15900.0   0.483  1.0
UGC156       +00:14.2  +12:04.0  15900.0   0.129  1.0
UGC191       +00:17.6  +10:36.0  15900.0   0.150  1.0
NGC4629      +12:42.5  -01:21.0  15916.7   0.110  1.0
ESO298-023   +02:14.4  -39:11.1  15930.6   0.065  1.0
IC1898       +03:10.3  -22:24.2  15930.6   0.483  1.0
PGC1185205   +01:09.1  +01:07.2  15944.4   0.005  1.0
PGC039055    +12:14.0  +53:45.2  15958.3   0.003  1.0
ESO149-013   +00:02.8  -52:46.3  15972.2   0.032  1.0
ESO420-009   +04:11.0  -31:24.4  15972.2   0.160  1.0
ESO301-011   +03:23.9  -37:30.5  15986.1   0.103  1.0
NGC1460      +03:46.2  -36:41.8  15986.1   0.184  1.0
PGC073553    +01:03.4  -35:52.8  15986.1   0.015  1.0
IC5273       +22:56.7  -37:58.0  16000.0   0.832  1.0
NGC2344      +07:08.8  +47:15.0  16000.0   0.417  1.0
NGC4065      +12:01.6  +20:30.0  16000.0   0.158  1.0
NGC4866      +12:57.0  +14:27.0  16000.0   0.655  1.0
NGC7217      +22:05.6  +31:07.0  16000.0   2.208  1.0
PGC034382    +11:16.4  +04:20.2  16000.0   0.016  1.0
UGCA98       +04:50.9  -25:19.0  16000.0   0.225  1.0
ESO187-051   +21:07.5  -54:57.2  16027.8   0.080  1.0
ESO347-002   +23:14.2  -40:37.9  16027.8   0.177  1.0
ESO359-005   +03:54.0  -36:03.8  16041.7   0.019  1.0
ESO420-006   +04:10.0  -31:15.5  16041.7   0.061  1.0
NGC4437      +12:32.8  +00:06.9  16055.6   5.861  1.0
NGC7286      +22:27.8  +29:05.7  16069.4   0.114  1.0
ESO302-006   +03:46.6  -40:38.9  16097.2   0.066  1.0
IC0345       +03:41.1  -18:18.8  16097.2   0.055  1.0
PGC1217593   +15:08.0  +02:09.0  16097.2   0.003  1.0
PGC131044    +01:52.2  -37:32.6  16097.2   0.018  1.0
NGC1398      +03:36.8  -26:30.0  16100.0   2.630  1.0
UGCA280      +12:22.0  +67:43.0  16100.0   0.028  1.0
ESO358-015   +03:33.1  -34:48.4  16111.1   0.068  1.0
IC3215       +12:22.1  +26:03.1  16111.1   0.047  1.0
ESO060-003   +08:16.5  -71:51.5  16138.9   0.011  1.0
ESO060-019   +08:57.4  -69:03.7  16138.9   0.738  1.0
IC0745       +11:54.2  +00:08.2  16138.9   0.088  1.0
PGC041918    +12:35.2  +10:25.9  16180.6   0.023  1.0
IC3065       +12:15.2  +14:26.0  16194.4   0.091  1.0
PGC088064    +03:11.0  -41:39.7  16194.4   0.006  1.0
PGC1084547   +13:00.7  -02:43.0  16194.4   0.002  1.0
NGC2685      +08:51.7  +58:56.0  16200.0   0.817  1.0
NGC4758      +12:50.3  +16:07.0  16200.0   0.283  1.0
NGC7292      +22:26.1  +30:03.0  16200.0   0.373  1.0
UGC2953      +04:02.5  +69:41.0  16200.0   3.597  1.0
PGC713913    +03:26.9  -30:42.5  16208.3   0.009  1.0
PGC1107216   +14:22.2  -01:53.5  16222.2   0.004  1.0
PGC030133    +10:19.0  +21:17.0  16236.1   0.015  1.0
PGC041180    +12:29.6  +08:03.5  16236.1   0.015  1.0
IC3032       +12:11.1  +14:16.5  16250.0   0.048  1.0
NGC3691      +11:28.1  +16:55.2  16250.0   0.406  1.0
NGC3906      +11:49.6  +48:25.6  16277.8   0.198  1.0
ESO359-016   +04:04.4  -36:10.9  16291.7   0.103  1.0
NGC1187      +03:00.4  -23:04.0  16300.0   1.247  1.0
NGC4772      +12:50.9  +02:26.0  16300.0   0.501  1.0
UGC5848      +10:41.3  +56:41.0  16300.0   0.086  1.0
ESO137-027   +16:26.7  -59:57.3  16305.6   0.667  1.0
PGC013084    +03:31.4  -35:19.9  16305.6   0.062  1.0
PGC031610    +10:38.1  +10:22.8  16305.6   0.035  1.0
PGC100030    +07:36.6  -69:26.8  16305.6   0.019  1.0
PGC020981    +07:25.6  +09:11.0  16333.3   0.013  1.0
ESO085-047   +05:07.7  -62:59.5  16361.1   0.057  1.0
PGC039837    +12:20.6  +30:47.8  16361.1   0.075  1.0
IC2563       +10:18.8  -32:35.8  16375.0   0.095  1.0
ESO425-002   +06:00.5  -28:59.5  16388.9   0.156  1.0
IC1826       +02:36.9  -27:40.0  16400.0   0.221  1.0
NGC2434      +07:35.0  -69:10.0  16400.0   0.964  1.0
NGC7690      +23:30.2  -51:58.0  16400.0   0.550  1.0
UGCA117      +05:58.6  -28:59.0  16400.0   0.097  1.0
UGCA180      +09:42.6  -31:36.0  16400.0   0.328  1.0
ESO219-021   +13:02.3  -50:20.0  16416.7   1.706  1.0
ESO265-003   +11:01.1  -44:02.3  16416.7   0.474  1.0
ESO420-011   +04:12.8  -31:18.5  16430.6   0.043  1.0
PGC166125    +12:13.3  +28:25.3  16444.4   0.002  1.0
PGC383392    +03:58.8  -57:59.1  16458.3   0.009  1.0
IC3356       +12:26.8  +11:33.5  16472.2   0.055  1.0
PGC401051    +04:27.8  -56:19.6  16472.2   0.006  1.0
UGC07715     +12:33.9  +03:32.8  16472.2   0.064  1.0
ESO298-015   +02:10.6  -40:55.1  16486.1   0.223  1.0
ESO220-032   +13:42.0  -48:18.5  16500.0   0.095  1.0
ESO271-014   +14:03.1  -47:06.1  16500.0   0.022  1.0
IC2035       +04:07.6  -45:38.0  16500.0   0.565  1.0
IC3773       +12:47.2  +10:12.2  16500.0   0.136  1.0
UGC3946      +07:35.4  +03:25.0  16500.0   0.141  1.0
ESO274-016   +15:28.9  -42:47.0  16513.9   0.037  1.0
NGC4353      +12:24.0  +07:47.0  16513.9   0.121  1.0
ESO438-012   +11:12.2  -28:00.0  16527.8   0.127  1.0
PGC165693    +16:43.0  -20:40.1  16527.8   0.275  1.0
ESO092-009   +10:06.0  -67:03.8  16541.7   0.090  1.0
ESO150-005   +00:22.4  -53:38.9  16555.6   0.069  1.0
NGC1369      +03:36.7  -36:15.3  16555.6   0.191  1.0
NGC4376      +12:25.3  +05:44.5  16583.3   0.184  1.0
PGC074886    +03:40.7  -18:38.7  16583.3   0.042  1.0
ESO114-032   +02:13.9  -59:42.2  16597.2   0.044  1.0
NGC4414      +12:26.2  +31:13.2  16600.0   2.56  1.0 
ESO359-022   +04:08.8  -35:23.3  16625.0   0.057  1.0
NGC4544      +12:35.6  +03:02.0  16638.9   0.179  1.0
PGC042710    +12:42.7  +13:16.0  16638.9   0.019  1.0
PGC135826    +13:26.2  +02:27.5  16638.9   0.013  1.0
PGC484937    +04:48.5  -48:40.7  16666.7   0.004  1.0
PGC037597    +11:57.4  +39:45.8  16680.6   0.019  1.0
ESO157-030   +04:27.5  -54:11.8  16694.4   0.073  1.0
NGC1536      +04:11.0  -56:29.2  16694.4   0.247  1.0
NGC1042      +02:37.9  -08:39.0  16700.0   1.432  1.0
UGC4173      +07:58.6  +80:16.0  16700.0   0.131  1.0
NGC4356      +12:24.2  +08:32.1  16708.3   0.310  1.0
IC3487       +12:33.2  +09:23.8  16722.2   0.038  1.0
PGC2425292   +10:36.6  +52:51.0  16722.2   0.016  1.0
ESO328-043   +15:19.3  -41:14.0  16736.1   0.263  1.0
ESO406-042   +23:02.2  -37:05.0  16750.0   0.066  1.0
PGC2750394   +17:11.9  +72:34.9  16750.0   0.016  1.0
PGC1129663   +11:45.1  -00:59.3  16763.9   0.003  1.0
UGC07982     +12:49.8  +02:51.1  16763.9   0.319  1.0
ESO093-003   +10:59.4  -66:20.0  16791.7   0.637  1.0
PGC213915    +11:58.2  +55:23.2  16791.7   0.006  1.0
PGC2575211   +11:58.1  +58:09.4  16791.7   0.006  1.0
IC3483       +12:30.6  +11:37.0  16800.0   0.024  1.0
IC3492       +12:30.7  +13:08.0  16800.0   0.053  1.0
M87          +12:28.3  +12:40.0  16800.0   7.047  1.0
NGC1426      +03:40.6  -22:16.0  16800.0   0.540  1.0
NGC3353      +10:42.3  +56:13.0  16800.0   0.231  1.0
NGC3605      +11:14.1  +18:18.0  16800.0   0.254  1.0
NGC4124      +12:05.6  +10:39.0  16800.0   0.698  1.0
NGC4168      +12:09.7  +13:29.0  16800.0   0.581  1.0
NGC4178      +12:10.2  +11:09.0  16800.0   1.259  1.0
NGC4189      +12:11.2  +13:43.0  16800.0   0.479  1.0
NGC4192      +12:11.2  +15:10.0  16800.0   4.207  1.0
NGC4206      +12:12.7  +13:18.0  16800.0   0.649  1.0
NGC4212      +12:13.1  +14:11.0  16800.0   1.038  1.0
NGC4216      +12:13.4  +13:26.0  16800.0   3.767  1.0
NGC4237      +12:14.7  +15:36.0  16800.0   0.550  1.0
NGC4254      +12:16.3  +14:42.0  16800.0   3.373  1.0
NGC4262      +12:17.0  +15:09.0  16800.0   0.520  1.0
NGC4267      +12:17.2  +13:05.0  16800.0   0.904  1.0
NGC4294      +12:18.8  +11:47.0  16800.0   0.619  1.0
NGC4298      +12:19.0  +14:53.0  16800.0   0.847  1.0
NGC4299      +12:19.2  +11:47.0  16800.0   0.325  1.0
NGC4302      +12:19.2  +14:53.0  16800.0   0.847  1.0
NGC4307      +12:19.6  +09:19.0  16800.0   0.441  1.0
NGC4318      +12:20.2  +08:29.0  16800.0   0.111  1.0
NGC4340      +12:21.1  +17:00.0  16800.0   0.724  1.0
NGC4342      +12:21.1  +07:20.0  16800.0   0.169  1.0
NGC4350      +12:21.4  +16:58.0  16800.0   0.802  1.0
NGC4351      +12:21.5  +12:29.0  16800.0   0.377  1.0
NGC4365      +12:21.9  +07:36.0  16800.0   2.512  1.0
NGC4371      +12:22.4  +11:59.0  16800.0   0.817  1.0
NGC4374      +12:22.5  +13:10.0  16800.0   3.733  1.0
NGC4377      +12:22.7  +15:02.0  16800.0   0.409  1.0
NGC4379      +12:22.7  +15:53.0  16800.0   0.457  1.0
NGC4380      +12:22.8  +10:17.0  16800.0   0.581  1.0
NGC4382      +12:22.9  +18:28.0  16800.0   4.325  1.0
NGC4383      +12:22.9  +16:45.0  16800.0   0.441  1.0
NGC4387      +12:23.2  +13:05.0  16800.0   0.328  1.0
NGC4388      +12:23.3  +12:56.0  16800.0   1.459  1.0
NGC4394      +12:23.4  +18:29.0  16800.0   0.973  1.0
NGC4406      +12:23.7  +13:13.0  16800.0   4.487  1.0
NGC4411      +12:24.0  +09:09.0  16800.0   0.169  1.0
NGC4413      +12:24.0  +12:53.0  16800.0   0.334  1.0
NGC4417      +12:24.2  +09:51.0  16800.0   0.698  1.0
NGC4419      +12:24.4  +15:19.0  16800.0   1.202  1.0
NGC4421      +12:24.5  +15:44.0  16800.0   0.525  1.0
NGC4424      +12:24.7  +09:42.0  16800.0   0.685  1.0
NGC4425      +12:24.7  +13:01.0  16800.0   0.373  1.0
NGC4429      +12:24.9  +11:23.0  16800.0   1.675  1.0
NGC4435      +12:25.1  +13:21.0  16800.0   0.991  1.0
NGC4438      +12:25.3  +13:17.0  16800.0   2.168  1.0
NGC4442      +12:25.5  +10:05.0  16800.0   1.343  1.0
NGC4450      +12:26.0  +17:22.0  16800.0   2.168  1.0
NGC4451      +12:26.1  +09:32.0  16800.0   0.211  1.0
NGC4452      +12:26.2  +12:02.0  16800.0   0.254  1.0
NGC4458      +12:26.4  +13:31.0  16800.0   0.337  1.0
NGC4459      +12:26.5  +14:15.0  16800.0   1.368  1.0
NGC4461      +12:26.5  +13:28.0  16800.0   0.752  1.0
NGC4464      +12:26.8  +08:26.0  16800.0   0.160  1.0
NGC4467      +12:27.0  +08:16.0  16800.0   0.030  1.0
NGC4469      +12:26.9  +09:01.0  16800.0   0.483  1.0
NGC4472      +12:27.2  +08:17.0  16800.0   8.318  1.0
NGC4473      +12:27.3  +13:42.0  16800.0   1.854  1.0
NGC4474      +12:27.4  +14:21.0  16800.0   0.433  1.0
NGC4476      +12:27.5  +12:38.0  16800.0   0.261  1.0
NGC4477      +12:27.5  +13:55.0  16800.0   1.380  1.0
NGC4478      +12:27.8  +12:36.0  16800.0   0.667  1.0
NGC4479      +12:27.8  +13:51.0  16800.0   0.200  1.0
NGC4483      +12:28.1  +09:18.0  16800.0   0.231  1.0
NGC4486B     +12:28.0  +12:46.0  16800.0   0.088  1.0
NGC4492      +12:28.5  +08:21.0  16800.0   0.231  1.0
NGC4498      +12:29.1  +17:08.0  16800.0   0.581  1.0
NGC4501      +12:29.4  +14:42.0  16800.0   4.831  1.0
NGC4503      +12:29.6  +11:27.0  16800.0   0.692  1.0
NGC4519      +12:31.0  +08:56.0  16800.0   0.570  1.0
NGC4522      +12:31.1  +09:26.0  16800.0   0.530  1.0
NGC4523      +12:31.3  +15:26.0  16800.0   0.082  1.0
NGC4526      +12:31.5  +07:59.0  16800.0   2.582  1.0
NGC4540      +12:32.3  +15:50.0  16800.0   0.581  1.0
NGC4550      +12:33.0  +12:30.0  16800.0   0.525  1.0
NGC4551      +12:33.1  +12:32.0  16800.0   0.347  1.0
NGC4552      +12:33.1  +12:50.0  16800.0   2.249  1.0
NGC4564      +12:33.9  +11:43.0  16800.0   0.817  1.0
NGC4567      +12:34.0  +11:32.0  16800.0   0.745  1.0
NGC4568      +12:34.0  +11:31.0  16800.0   1.306  1.0
NGC4569      +12:34.3  +13:26.0  16800.0   5.012  1.0
NGC4570      +12:34.4  +07:31.0  16800.0   0.920  1.0
NGC4571      +12:34.4  +14:29.0  16800.0   0.879  1.0
NGC4578      +12:35.0  +09:50.0  16800.0   0.545  1.0
NGC4579      +12:35.2  +12:06.0  16800.0   2.884  1.0
NGC4596      +12:37.4  +10:27.0  16800.0   1.148  1.0
NGC4608      +12:38.7  +10:25.0  16800.0   0.643  1.0
NGC4612      +12:39.0  +07:35.0  16800.0   0.305  1.0
NGC4621      +12:39.5  +11:55.0  16800.0   2.355  1.0
NGC4623      +12:39.6  +07:57.0  16800.0   0.211  1.0
NGC4638      +12:40.3  +11:43.0  16800.0   0.738  1.0
NGC4647      +12:41.0  +11:51.0  16800.0   0.847  1.0
NGC4649      +12:41.2  +11:50.0  16800.0   5.445  1.0
NGC4651      +12:41.2  +16:39.0  16800.0   1.660  1.0
NGC4654      +12:41.4  +13:23.0  16800.0   2.070  1.0
NGC4660      +12:42.0  +11:28.0  16800.0   0.817  1.0
NGC4689      +12:45.3  +14:02.0  16800.0   1.096  1.0
NGC4694      +12:45.8  +11:15.0  16800.0   0.581  1.0
NGC4698      +12:45.9  +08:46.0  16800.0   1.675  1.0
NGC4710      +12:47.2  +15:26.0  16800.0   0.863  1.0
NGC4754      +12:49.8  +11:35.0  16800.0   1.225  1.0
NGC4762      +12:50.4  +11:30.0  16800.0   1.614  1.0
NGC5879      +15:08.4  +57:12.0  16800.0   0.964  1.0
UGC7209      +12:10.0  +12:24.0  16800.0   0.254  1.0
UGC7249      +12:12.1  +13:05.0  16800.0   0.070  1.0
UGC7279      +12:13.2  +10:58.0  16800.0   0.101  1.0
UGC7352      +12:16.5  +09:08.0  16800.0   0.121  1.0
UGC7470      +12:21.2  +12:45.0  16800.0   0.160  1.0
UGC7513      +12:23.2  +07:30.0  16800.0   0.175  1.0
UGC7546      +12:24.3  +09:09.0  16800.0   0.273  1.0
UGC7547      +12:24.3  +11:51.0  16800.0   0.048  1.0
UGC7557      +12:24.7  +07:32.0  16800.0   0.231  1.0
UGC7563      +12:24.6  +16:11.0  16800.0   0.121  1.0
UGC7666      +12:29.0  +15:08.0  16800.0   0.101  1.0
UGC7781      +12:34.1  +06:54.0  16800.0   0.231  1.0
UGC7784      +12:34.2  +13:32.0  16800.0   0.160  1.0
UGC7822      +12:36.9  +08:14.0  16800.0   0.097  1.0
UGCA215      +10:38.9  -23:07.0  16800.0   0.150  1.0
UGCA284      +12:30.0  +09:27.0  16800.0   0.044  1.0
ESO241-006   +23:56.2  -43:25.6  16833.3   0.149  1.0
PGC037227    +11:52.7  -00:40.1  16833.3   0.004  1.0
PGC037460    +11:55.6  +56:15.2  16833.3   0.028  1.0
PGC2485185   +12:09.5  +54:56.3  16833.3   0.007  1.0
PGC1137164   +09:44.8  -00:41.3  16847.2   0.013  1.0
PGC1201224   +10:05.3  +01:38.4  16875.0   0.006  1.0
UGC05989     +10:52.5  +19:47.5  16888.9   0.363  1.0
NGC1079      +02:41.6  -29:13.0  16900.0   0.530  1.0
NGC1316      +03:20.8  -37:23.0  16900.0   6.026  1.0
NGC1317      +03:20.9  -37:17.0  16900.0   0.745  1.0
NGC1326      +03:22.0  -36:38.0  16900.0   1.343  1.0
NGC1341      +03:26.1  -37:19.0  16900.0   0.281  1.0
NGC1350      +03:29.1  -33:47.0  16900.0   1.528  1.0
NGC1351      +03:28.6  -35:02.0  16900.0   0.337  1.0
NGC1374      +03:33.4  -35:24.0  16900.0   0.535  1.0
NGC1375      +03:33.3  -35:26.0  16900.0   0.233  1.0
NGC1379      +03:34.2  -35:37.0  16900.0   0.661  1.0
NGC1380      +03:34.5  -35:08.0  16900.0   1.614  1.0
NGC1380B     +03:35.1  -35:21.0  16900.0   0.213  1.0
NGC1381      +03:34.7  -35:28.0  16900.0   0.515  1.0
NGC1386      +03:35.0  -36:10.0  16900.0   0.643  1.0
NGC1387      +03:35.1  -35:41.0  16900.0   0.705  1.0
NGC1389      +03:35.3  -35:55.0  16900.0   0.492  1.0
NGC1399      +03:36.6  -35:37.0  16900.0   2.032  1.0
NGC1404      +03:37.0  -35:45.0  16900.0   1.472  1.0
NGC1427      +03:40.4  -35:34.0  16900.0   0.745  1.0
NGC1437      +03:41.7  -36:01.0  16900.0   0.592  1.0
NGC3810      +11:38.4  +11:45.0  16900.0   1.722  1.0
NGC4064      +12:01.6  +18:43.0  16900.0   0.832  1.0
NGC5530      +14:15.4  -43:09.0  16900.0   1.614  1.0
NGC5643      +14:29.4  -43:59.0  16900.0   3.802  1.0
NGC936       +02:25.1  -01:23.0  16900.0   1.675  1.0
ESO294-020   +00:32.2  -40:16.0  16902.8   0.098  1.0
IC0692       +11:25.9  +09:59.2  16902.8   0.158  1.0
IC3583       +12:36.7  +13:15.5  16902.8   0.251  1.0
PGC721338    +01:33.9  -30:06.3  16916.7   0.006  1.0
ESO092-003   +09:59.5  -67:18.3  16930.6   0.114  1.0
PGC699590    +00:46.5  -31:54.1  16930.6   0.003  1.0
ESO249-025   +03:52.8  -43:23.8  16958.3   0.041  1.0
ESO080-006   +01:47.3  -62:58.2  16972.2   0.191  1.0
PGC2445913   +11:59.7  +53:36.6  16972.2   0.005  1.0
ESO359-002   +03:50.6  -35:54.5  16986.1   0.097  1.0
PGC040339    +12:24.2  +04:13.6  16986.1   0.030  1.0
NGC2775      +09:07.7  +07:15.0  17000.0   1.754  1.0
NGC3513      +11:01.3  -22:58.0  17000.0   0.946  1.0
NGC3666      +11:21.8  +11:37.0  17000.0   1.028  1.0
NGC3705      +11:27.5  +09:31.0  17000.0   1.786  1.0
NGC3718      +11:29.9  +53:21.0  17000.0   1.854  1.0
NGC3726      +11:30.7  +47:19.0  17000.0   2.148  1.0
NGC3729      +11:31.1  +53:25.0  17000.0   0.780  1.0
NGC3769      +11:35.0  +48:10.0  17000.0   1.486  1.0
NGC3769A     +11:35.1  +48:10.0  17000.0   0.113  1.0
NGC3773      +11:35.6  +12:23.0  17000.0   0.310  1.0
NGC3782      +11:36.6  +46:47.0  17000.0   0.310  1.0
NGC3877      +11:43.5  +47:46.0  17000.0   1.959  1.0
NGC3893      +11:46.1  +49:00.0  17000.0   1.995  1.0
NGC3913      +11:48.0  +55:38.0  17000.0   0.373  1.0
NGC3917      +11:48.2  +52:07.0  17000.0   1.028  1.0
NGC3924      +11:50.0  +50:18.0  17000.0   0.065  1.0
NGC3928      +11:49.2  +48:58.0  17000.0   0.283  1.0
NGC3938      +11:50.2  +44:24.0  17000.0   1.977  1.0
NGC3949      +11:51.1  +48:08.0  17000.0   1.445  1.0
NGC3953      +11:51.2  +52:37.0  17000.0   2.780  1.0
