# This is the BNS population 
# Sources cataloged by Ravi Kumar
# file generated by Chad Hanna March 23 2006
#NAME	     #RA       #DEC	   #DIST   #LUM	 #FUDGE 	
NGC4288      +12:18.2  +46:35.0   8000.0   0.058  1.0
NGC4707      +12:46.1  +51:26.0   8000.0   0.044  1.0
UGC5829      +10:39.8  +34:43.0   8000.0   0.037  1.0
ESO308-022   +06:39.5  -40:43.3   8013.9   0.006  1.0
NGC3239      +10:22.4  +17:25.0   8100.0   0.133  1.0
NGC3377      +10:45.1  +14:15.0   8100.0   0.409  1.0
NGC3379      +10:45.2  +12:51.0   8100.0   0.887  1.0
NGC3384      +10:45.6  +12:54.0   8100.0   0.483  1.0
NGC3412      +10:48.3  +13:41.0   8100.0   0.281  1.0
NGC4460      +12:26.4  +45:09.0   8100.0   0.121  1.0
PGC170051    +03:41.0  -38:51.2   8138.9   0.010  1.0
PGC041156    +12:29.3  +12:27.0   8194.4   0.006  1.0
NGC2337      +07:06.6  +44:32.0   8200.0   0.139  1.0
NGC4625      +12:39.5  +41:33.0   8200.0   0.074  1.0
NGC7713      +23:33.6  -38:12.0   8200.0   0.377  1.0
UGC3174      +04:46.0  +00:09.0   8200.0   0.028  1.0
PGC170257    +13:29.3  -21:10.7   8250.0   0.014  1.0
NGC3985      +11:54.1  +48:36.0   8300.0   0.073  1.0
PGC019343    +06:38.0  -15:01.4   8319.4   0.158  1.0
IC3414       +12:29.5  +06:46.3   8333.3   0.039  1.0
PGC040588    +12:25.7  +14:57.2   8375.0   0.004  1.0
IC5332       +23:31.8  -36:22.0   8400.0   0.373  1.0
NGC4687      +12:45.0  +35:38.0   8400.0   0.025  1.0
PGC018855    +06:20.9  -08:29.6   8486.1   1.472  1.0
ESO359-024   +04:10.9  -35:49.8   8527.8   0.013  1.0
PGC749455    +23:17.9  -27:49.1   8541.7   0.001  1.0
PGC901638    +00:29.8  -16:09.9   8541.7   0.001  1.0
ESO439-012   +11:29.1  -29:34.9   8555.6   0.004  1.0
IC2171       +06:44.5  -17:56.0   8569.4   0.172  1.0
NGC1291      +03:15.5  -41:19.0   8600.0   1.977  1.0
NGC7640      +23:19.7  +40:34.0   8600.0   0.955  1.0
UGC3475      +06:27.0  +39:31.0   8600.0   0.087  1.0
ESO495-008   +08:21.0  -23:46.7   8638.9   0.016  1.0
PGC712531    +03:39.0  -30:49.3   8680.6   0.001  1.0
UGC05672     +10:28.3  +22:34.3   8680.6   0.029  1.0
NGC3184      +10:15.2  +41:40.0   8700.0   0.847  1.0
UGC4704      +08:55.8  +39:24.0   8700.0   0.039  1.0
PGC091215    +12:36.9  +01:36.8   8708.3   0.011  1.0
NGC1522      +04:06.1  -52:40.1   8736.1   0.028  1.0
PGC005516    +01:28.7  +16:41.3   8736.1   0.029  1.0
PGC169957    +01:36.5  +23:48.9   8750.0   0.002  1.0
PGC083341    +10:47.4  +13:53.3   8791.7   0.002  1.0
NGC4096      +12:03.5  +47:45.0   8800.0   0.887  1.0
ESO302-014   +03:51.7  -38:27.2   8861.1   0.011  1.0
IC4710       +18:23.5  -67:01.0   8900.0   0.215  1.0
NGC1487      +03:54.1  -42:31.0   8900.0   0.174  1.0
NGC1637      +04:38.9  -02:56.0   8900.0   0.334  1.0
UGC7719      +12:31.5  +39:17.0   8900.0   0.020  1.0
UGC7950      +12:44.6  +51:55.0   8900.0   0.012  1.0
UGCA298      +12:44.3  +26:50.0   8900.0   0.018  1.0
