# This is the Macho population whereby we have adjusted the elliptical galaxies 
# luminosity by a factor of 10;
# Sources cataloged by Ravi Kumar
# file generated by Chad Hanna March 23 2006
#NAME			#RA		#DEC		#DIST		#LUM	#FUDGE 	
NGC3299          	 +10:33.80 	 +12:57.00 	 5400.00 	 0.024 	 1.00 
NGC3593          	 +11:12.00 	 +13:5.00 	 5500.00 	 0.099 	 1.00 
NGC6946          	 +20:33.80 	 +59:59.00 	 5500.00 	 3.192 	 1.00 
NGC2683          	 +8:49.60 	 +33:38.00 	 5700.00 	 0.597 	 1.00 
UGC7639          	 +12:27.50 	 +47:48.00 	 5800.00 	 0.021 	 1.00 
NGC3274          	 +10:29.50 	 +27:55.00 	 5900.00 	 0.038 	 1.00 
NGC45            	 +0:11.40 	 -23:27.00 	 5900.00 	 0.209 	 1.00 
UGC5340          	 +9:53.80 	 +29:4.00 	 5900.00 	 0.009 	 1.00 
UGC6900          	 +11:53.00 	 +31:49.00 	 5900.00 	 0.008 	 1.00 
NGC1705          	 +4:53.10 	 -53:27.00 	 6000.00 	 0.480 	 1.00 
NGC5023          	 +13:10.00 	 +44:18.00 	 6000.00 	 0.128 	 1.00 
NGC5474          	 +14:3.30 	 +53:54.00 	 6000.00 	 0.167 	 1.00 
NGC3344          	 +10:40.80 	 +25:11.00 	 6100.00 	 0.380 	 1.00 
NGC6503          	 +17:49.90 	 +70:10.00 	 6100.00 	 0.445 	 1.00 
NGC4455          	 +12:26.20 	 +23:6.00 	 6200.00 	 0.059 	 1.00 
UGC7699          	 +12:30.40 	 +37:54.00 	 6200.00 	 0.079 	 1.00 
NGC2903          	 +9:29.40 	 +21:44.00 	 6300.00 	 1.355 	 1.00 
NGC1156          	 +2:56.80 	 +25:2.00 	 6400.00 	 0.150 	 1.00 
NGC3489          	 +10:57.70 	 +14:10.00 	 6400.00 	 0.229 	 1.00 
NGC4941          	 +13:1.60 	 -5:17.00 	 6400.00 	 0.131 	 1.00 
NGC5229          	 +13:32.00 	 +48:10.00 	 6400.00 	 0.033 	 1.00 
NGC5477          	 +14:3.80 	 +54:42.00 	 6400.00 	 0.012 	 1.00 
UGC1249          	 +1:44.70 	 +27:5.00 	 6400.00 	 0.172 	 1.00 
UGC5272          	 +9:47.40 	 +31:43.00 	 6500.00 	 0.017 	 1.00 
NGC3621          	 +11:18.10 	 -32:48.40 	 6550.00 	 1.030 	 1.00 
IC5052           	 +20:47.40 	 -69:24.00 	 6700.00 	 0.189 	 1.00 
M101             	 +14:3.10 	 +54:20.50 	 6700.00 	 3.470 	 1.00 
NGC3115          	 +10:2.70 	 -7:29.00 	 6700.00 	 7.310 	 1.00 
NGC5068          	 +13:16.30 	 -20:47.00 	 6700.00 	 0.581 	 1.00 
UGC7408          	 +12:18.80 	 +46:6.00 	 6700.00 	 0.034 	 1.00 
NGC24            	 +0:7.40 	 -25:15.00 	 6800.00 	 0.200 	 1.00 
UGC7774          	 +12:33.90 	 +40:17.00 	 6800.00 	 0.026 	 1.00 
NGC4631          	 +12:39.80 	 +32:49.00 	 6900.00 	 1.738 	 1.00 
UGC12713         	 +23:35.70 	 +30:26.00 	 6900.00 	 0.012 	 1.00 
UGC5151          	 +9:37.20 	 +48:34.00 	 6900.00 	 0.032 	 1.00 
UGC5764          	 +10:33.90 	 +31:49.00 	 6900.00 	 0.014 	 1.00 
NGC5585          	 +14:18.20 	 +56:57.00 	 7000.00 	 0.238 	 1.00 
NGC5457          	 +14:3.20 	 +54:20.90 	 7013.90 	 18.365 	 1.00 
NGC2784          	 +9:10.10 	 -23:58.00 	 7100.00 	 0.479 	 1.00 
UGC5918          	 +10:46.20 	 +65:48.00 	 7100.00 	 0.007 	 1.00 
UGCA320          	 +13:0.70 	 -17:8.00 	 7100.00 	 0.063 	 1.00 
NGC3521          	 +11:3.20 	 +0:14.00 	 7200.00 	 1.393 	 1.00 
NGC4656          	 +12:41.60 	 +32:26.00 	 7200.00 	 0.752 	 1.00 
NGC5055          	 +13:13.50 	 +42:17.00 	 7200.00 	 1.770 	 1.00 
UGC3860          	 +7:24.80 	 +40:52.00 	 7200.00 	 0.011 	 1.00 
PGC169678        	 +13:8.50 	 -20:49.40 	 7222.20 	 0.003 	 1.00 
NGC3623          	 +11:16.30 	 +13:23.00 	 7300.00 	 1.306 	 1.00 
NGC4248          	 +12:15.40 	 +47:41.00 	 7300.00 	 0.044 	 1.00 
NGC4618          	 +12:39.20 	 +41:25.00 	 7300.00 	 0.275 	 1.00 
IC0559           	 +9:44.70 	 +9:36.90 	 7347.20 	 0.015 	 1.00 
NGC1800          	 +5:4.50 	 -32:1.00 	 7400.00 	 0.050 	 1.00 
NGC3486          	 +10:57.80 	 +29:15.00 	 7400.00 	 0.433 	 1.00 
UGC3966          	 +7:38.00 	 +40:14.00 	 7400.00 	 0.024 	 1.00 
PGC001242        	 +0:19.10 	 -22:40.10 	 7444.40 	 0.006 	 1.00 
ESO443-009       	 +12:54.90 	 -28:20.40 	 7500.00 	 0.002 	 1.00 
NGC4242          	 +12:14.90 	 +45:54.00 	 7500.00 	 0.227 	 1.00 
NGC672           	 +1:45.00 	 +27:11.00 	 7500.00 	 0.449 	 1.00 
PGC736170        	 +0:9.70 	 -28:53.30 	 7500.00 	 0.001 	 1.00 
UGC7271          	 +12:13.00 	 +43:42.00 	 7500.00 	 0.024 	 1.00 
UGC7690          	 +12:30.00 	 +42:59.00 	 7500.00 	 0.055 	 1.00 
ESO302-021       	 +3:55.90 	 -40:41.00 	 7555.60 	 0.019 	 1.00 
PGC018431        	 +6:7.30 	 -34:12.20 	 7597.20 	 0.009 	 1.00 
UGC7608          	 +12:26.30 	 +43:30.00 	 7600.00 	 0.030 	 1.00 
ESO472-015       	 +0:6.80 	 -24:56.60 	 7652.80 	 0.040 	 1.00 
ESO264-035       	 +10:42.80 	 -47:37.00 	 7694.40 	 0.057 	 1.00 
NGC3628          	 +11:17.70 	 +13:53.00 	 7700.00 	 1.500 	 1.00 
NGC5194          	 +13:27.80 	 +47:27.00 	 7700.00 	 3.105 	 1.00 
M106             	 +12:18.50 	 +47:18.10 	 7730.00 	 3.700 	 1.00 
ESO104-044       	 +19:11.30 	 -64:13.10 	 7736.10 	 0.013 	 1.00 
PGC135659        	 +2:43.10 	 -0:15.70 	 7763.90 	 0.020 	 1.00 
NGC1744          	 +4:57.90 	 -26:6.00 	 7800.00 	 0.261 	 1.00 
NGC3432          	 +10:49.70 	 +36:54.00 	 7800.00 	 0.350 	 1.00 
NGC4490          	 +12:28.30 	 +41:55.00 	 7800.00 	 1.028 	 1.00 
UGC4787          	 +9:4.40 	 +33:28.00 	 7800.00 	 0.042 	 1.00 
UGC7267          	 +12:12.90 	 +51:39.00 	 7800.00 	 0.024 	 1.00 
ESO409-015       	 +0:5.50 	 -28:5.90 	 7819.40 	 0.015 	 1.00 
ESO364-029       	 +6:5.70 	 -33:5.00 	 7847.20 	 0.048 	 1.00 
PGC013409        	 +3:38.30 	 -43:58.10 	 7847.20 	 0.050 	 1.00 
NGC2188          	 +6:8.40 	 -34:6.00 	 7900.00 	 0.219 	 1.00 
NGC3510          	 +11:1.00 	 +29:9.00 	 7900.00 	 0.084 	 1.00 
NGC4204          	 +12:12.70 	 +20:56.00 	 7900.00 	 0.080 	 1.00 
ESO104-022       	 +18:55.70 	 -64:48.60 	 7944.40 	 0.012 	 1.00 
ESO358-060       	 +3:45.20 	 -35:34.20 	 7944.40 	 0.017 	 1.00 
PGC877092        	 +21:48.50 	 -17:48.70 	 7944.40 	 0.001 	 1.00 
NGC4020          	 +11:56.30 	 +30:41.00 	 8000.00 	 0.077 	 1.00 
NGC4288          	 +12:18.20 	 +46:35.00 	 8000.00 	 0.058 	 1.00 
NGC4707          	 +12:46.10 	 +51:26.00 	 8000.00 	 0.044 	 1.00 
UGC5829          	 +10:39.80 	 +34:43.00 	 8000.00 	 0.037 	 1.00 
ESO308-022       	 +6:39.50 	 -40:43.30 	 8013.90 	 0.006 	 1.00 
NGC3239          	 +10:22.40 	 +17:25.00 	 8100.00 	 0.133 	 1.00 
NGC3377          	 +10:45.10 	 +14:15.00 	 8100.00 	 4.090 	 1.00 
NGC3379          	 +10:45.20 	 +12:51.00 	 8100.00 	 8.870 	 1.00 
NGC3384          	 +10:45.60 	 +12:54.00 	 8100.00 	 4.830 	 1.00 
NGC3412          	 +10:48.30 	 +13:41.00 	 8100.00 	 0.281 	 1.00 
NGC4460          	 +12:26.40 	 +45:9.00 	 8100.00 	 0.121 	 1.00 
PGC170051        	 +3:41.00 	 -38:51.20 	 8138.90 	 0.010 	 1.00 
PGC041156        	 +12:29.30 	 +12:27.00 	 8194.40 	 0.060 	 1.00 
NGC2337          	 +7:6.60 	 +44:32.00 	 8200.00 	 0.139 	 1.00 
NGC4625          	 +12:39.50 	 +41:33.00 	 8200.00 	 0.074 	 1.00 
NGC7713          	 +23:33.60 	 -38:12.00 	 8200.00 	 0.377 	 1.00 
UGC3174          	 +4:46.00 	 +0:9.00 	 8200.00 	 0.028 	 1.00 
PGC170257        	 +13:29.30 	 -21:10.70 	 8250.00 	 0.140 	 1.00 
NGC3985          	 +11:54.10 	 +48:36.00 	 8300.00 	 0.073 	 1.00 
PGC019343        	 +6:38.00 	 -15:1.40 	 8319.40 	 0.158 	 1.00 
IC3414           	 +12:29.50 	 +6:46.30 	 8333.30 	 0.039 	 1.00 
PGC040588        	 +12:25.70 	 +14:57.20 	 8375.00 	 0.004 	 1.00 
IC5332           	 +23:31.80 	 -36:22.00 	 8400.00 	 0.373 	 1.00 
NGC4687          	 +12:45.00 	 +35:38.00 	 8400.00 	 0.250 	 1.00 
PGC018855        	 +6:20.90 	 -8:29.60 	 8486.10 	 1.472 	 1.00 
ESO359-024       	 +4:10.90 	 -35:49.80 	 8527.80 	 0.013 	 1.00 
PGC749455        	 +23:17.90 	 -27:49.10 	 8541.70 	 0.001 	 1.00 
PGC901638        	 +0:29.80 	 -16:9.90 	 8541.70 	 0.001 	 1.00 
ESO439-012       	 +11:29.10 	 -29:34.90 	 8555.60 	 0.004 	 1.00 
IC2171           	 +6:44.50 	 -17:56.00 	 8569.40 	 0.172 	 1.00 
NGC1291          	 +3:15.50 	 -41:19.00 	 8600.00 	 1.977 	 1.00 
