#This list contains the morphological galaxy types necessary to build the Macho population
#Cataloged by Ravi Kumar 
#File generated by Chad Hanna March 23 2006 
#NAME			#RA		#DEC		#DIST		#LUM	#FUDGE 	#TYPE
UGC7774          	 +12:33.90 	 +40:17.00 	 6800.00 	 0.026 	 1.00 Scd
NGC4631          	 +12:39.80 	 +32:49.00 	 6900.00 	 1.738 	 1.00 SBcd
UGC12713         	 +23:35.70 	 +30:26.00 	 6900.00 	 0.012 	 1.00 S0
UGC5151          	 +9:37.20 	 +48:34.00 	 6900.00 	 0.032 	 1.00 Irr
UGC5764          	 +10:33.90 	 +31:49.00 	 6900.00 	 0.014 	 1.00 IrrB
NGC5585          	 +14:18.20 	 +56:57.00 	 7000.00 	 0.238 	 1.00 SABc
NGC5457          	 +14:3.20 	 +54:20.90 	 7013.90 	 18.365 	 1.00 SABc
NGC2784          	 +9:10.10 	 -23:58.00 	 7100.00 	 0.479 	 1.00 S0
UGC5918          	 +10:46.20 	 +65:48.00 	 7100.00 	 0.007 	 1.00 Irr
UGCA320          	 +13:0.70 	 -17:8.00 	 7100.00 	 0.063 	 1.00 SBm
NGC3521          	 +11:3.20 	 +0:14.00 	 7200.00 	 1.393 	 1.00 SABb
NGC4656          	 +12:41.60 	 +32:26.00 	 7200.00 	 0.752 	 1.00 SBm
NGC5055          	 +13:13.50 	 +42:17.00 	 7200.00 	 1.770 	 1.00 Sbc
UGC3860          	 +7:24.80 	 +40:52.00 	 7200.00 	 0.011 	 1.00 IrrB
PGC169678        	 +13:8.50 	 -20:49.40 	 7222.20 	 0.003 	 1.00 --
NGC3623          	 +11:16.30 	 +13:23.00 	 7300.00 	 1.306 	 1.00 SABa
NGC4248          	 +12:15.40 	 +47:41.00 	 7300.00 	 0.044 	 1.00 SBb
NGC4618          	 +12:39.20 	 +41:25.00 	 7300.00 	 0.275 	 1.00 SBd
IC0559           	 +9:44.70 	 +9:36.90 	 7347.20 	 0.015 	 1.00 Sc
NGC1800          	 +5:4.50 	 -32:1.00 	 7400.00 	 0.050 	 1.00 Sm
NGC3486          	 +10:57.80 	 +29:15.00 	 7400.00 	 0.433 	 1.00 Sc
UGC3966          	 +7:38.00 	 +40:14.00 	 7400.00 	 0.024 	 1.00 Irr
PGC001242        	 +0:19.10 	 -22:40.10 	 7444.40 	 0.006 	 1.00 Sm
ESO443-009       	 +12:54.90 	 -28:20.40 	 7500.00 	 0.002 	 1.00 Irr
NGC4242          	 +12:14.90 	 +45:54.00 	 7500.00 	 0.227 	 1.00 Sd
NGC672           	 +1:45.00 	 +27:11.00 	 7500.00 	 0.449 	 1.00 SBc
PGC736170        	 +0:9.70 	 -28:53.30 	 7500.00 	 0.001 	 1.00 --
UGC7271          	 +12:13.00 	 +43:42.00 	 7500.00 	 0.024 	 1.00 SBcd
UGC7690          	 +12:30.00 	 +42:59.00 	 7500.00 	 0.055 	 1.00 Irr
ESO302-021       	 +3:55.90 	 -40:41.00 	 7555.60 	 0.019 	 1.00 Sc
PGC018431        	 +6:7.30 	 -34:12.20 	 7597.20 	 0.009 	 1.00 Irr
UGC7608          	 +12:26.30 	 +43:30.00 	 7600.00 	 0.030 	 1.00 Irr
ESO472-015       	 +0:6.80 	 -24:56.60 	 7652.80 	 0.040 	 1.00 E?
ESO264-035       	 +10:42.80 	 -47:37.00 	 7694.40 	 0.057 	 1.00 SBcd
NGC3628          	 +11:17.70 	 +13:53.00 	 7700.00 	 1.500 	 1.00 Sb
NGC5194          	 +13:27.80 	 +47:27.00 	 7700.00 	 3.105 	 1.00 Sbc
M106             	 +12:18.50 	 +47:18.10 	 7730.00 	 3.700 	 1.00 SABb
ESO104-044       	 +19:11.30 	 -64:13.10 	 7736.10 	 0.013 	 1.00 SABm
PGC135659        	 +2:43.10 	 -0:15.70 	 7763.90 	 0.020 	 1.00 E
NGC1744          	 +4:57.90 	 -26:6.00 	 7800.00 	 0.261 	 1.00 SBc
NGC3432          	 +10:49.70 	 +36:54.00 	 7800.00 	 0.350 	 1.00 SBm
NGC4490          	 +12:28.30 	 +41:55.00 	 7800.00 	 1.028 	 1.00 SBcd
UGC4787          	 +9:4.40 	 +33:28.00 	 7800.00 	 0.042 	 1.00 SBd
UGC7267          	 +12:12.90 	 +51:39.00 	 7800.00 	 0.024 	 1.00 Sd
ESO409-015       	 +0:5.50 	 -28:5.90 	 7819.40 	 0.015 	 1.00 --
ESO364-029       	 +6:5.70 	 -33:5.00 	 7847.20 	 0.048 	 1.00 --
PGC013409        	 +3:38.30 	 -43:58.10 	 7847.20 	 0.050 	 1.00 E
NGC2188          	 +6:8.40 	 -34:6.00 	 7900.00 	 0.219 	 1.00 SBm
NGC3510          	 +11:1.00 	 +29:9.00 	 7900.00 	 0.084 	 1.00 SBd
NGC4204          	 +12:12.70 	 +20:56.00 	 7900.00 	 0.080 	 1.00 SBd
ESO104-022       	 +18:55.70 	 -64:48.60 	 7944.40 	 0.012 	 1.00 IrrB
